TIMESTAMP,LUIGI_OPEN_PRICE_USD,LUIGI_HIGH_PRICE_USD,LUIGI_LOW_PRICE_USD,LUIGI_CLOSE_PRICE_USD,LUIGI_VOLUME_USD,LUIGI_DIVIDENDS_USD,LUIGI_STOCK_SPLITS_USD
2023-06-25 00:00:00+00:00,,,,0.0,33033,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,46782,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,32148,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,23618,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,17680,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,9579,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,18685,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,10314,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,7432,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,9991,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,7290,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,29515,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,14484,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,10659,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,18533,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,16121,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,17720,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,17176,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,7199,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,7213,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,7317,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,12766,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,4066,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,5699,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,1779,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,4994,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,10027,0.0,0.0
2023-07-23 00:00:00+00:00,,,,0.0,7444,0.0,0.0
2023-07-24 00:00:00+00:00,,,,0.0,3765,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,6117,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,15953,0.0,0.0
2023-07-27 00:00:00+00:00,,,,0.0,8787,0.0,0.0
2023-07-28 00:00:00+00:00,,,,0.0,9969,0.0,0.0
2023-07-29 00:00:00+00:00,,,,0.0,17216,0.0,0.0
2023-07-30 00:00:00+00:00,,,,0.0,64784,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,12879,0.0,0.0
2023-08-01 00:00:00+00:00,,,,0.0,21600,0.0,0.0
2023-08-02 00:00:00+00:00,,,,0.0,20331,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,13772,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,16374,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,29866,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,6548,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,5111,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,7045,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,3095,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,6417,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,7263,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,6919,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,17153,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,6966,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,5505,0.0,0.0
2023-08-16 00:00:00+00:00,,,,0.0,3304,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,13092,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,6843,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,9760,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,5412,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,3620,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,3452,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,6065,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,1772,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,5414,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,1333,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,2503,0.0,0.0
2023-08-28 00:00:00+00:00,,,,0.0,3578,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,4647,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,2075,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,2200,0.0,0.0
2023-09-01 00:00:00+00:00,,,,0.0,6326,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,1395,0.0,0.0
2023-09-03 00:00:00+00:00,,,,0.0,2893,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,3503,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,4867,0.0,0.0
2023-09-06 00:00:00+00:00,,,,0.0,5226,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,957,0.0,0.0
2023-09-08 00:00:00+00:00,,,,0.0,3305,0.0,0.0
2023-09-09 00:00:00+00:00,,,,0.0,894,0.0,0.0
2023-09-10 00:00:00+00:00,,,,0.0,4111,0.0,0.0
