TIMESTAMP,FBTC_OPEN_PRICE_USD,FBTC_HIGH_PRICE_USD,FBTC_LOW_PRICE_USD,FBTC_CLOSE_PRICE_USD,FBTC_VOLUME_USD,FBTC_DIVIDENDS_USD,FBTC_STOCK_SPLITS_USD
2024-07-21 00:00:00+00:00,66911.484375,67431.8203125,66808.234375,67415.203125,345729,0.0,0.0
2024-07-22 00:00:00+00:00,67422.625,68197.875,66494.0546875,67137.1015625,13925,0.0,0.0
2024-07-23 00:00:00+00:00,67137.1015625,67554.15625,65775.75,66322.6796875,182399,0.0,0.0
2024-07-24 00:00:00+00:00,66322.6796875,66374.3515625,64754.375,64763.93359375,190184,0.0,0.0
2024-07-25 00:00:00+00:00,64763.93359375,64800.00390625,62038.3125,62923.65625,528587,0.0,0.0
2024-07-26 00:00:00+00:00,62923.65625,66334.859375,62923.65625,66287.328125,2594808,0.0,0.0
2024-07-27 00:00:00+00:00,66276.828125,67893.6953125,65640.296875,66750.90625,2665156,0.0,0.0
2024-07-28 00:00:00+00:00,66652.515625,67106.328125,65832.4609375,66824.75,1529538,0.0,0.0
2024-07-29 00:00:00+00:00,66824.640625,69818.0546875,66801.28125,67116.1796875,6520946,0.0,0.0
2024-07-30 00:00:00+00:00,67114.1171875,67321.046875,65157.0390625,66017.984375,6754024,0.0,0.0
2024-07-31 00:00:00+00:00,66017.984375,66813.921875,64661.2265625,64686.55078125,13092926,0.0,0.0
2024-08-01 00:00:00+00:00,64686.55078125,65248.23828125,62510.11328125,65248.23828125,3256187,0.0,0.0
2024-08-02 00:00:00+00:00,65171.796875,65244.6953125,61477.32421875,61548.07421875,2804935,0.0,0.0
2024-08-03 00:00:00+00:00,61548.07421875,62011.3515625,59405.33203125,60214.1875,2511215,0.0,0.0
2024-08-04 00:00:00+00:00,60214.1875,60711.30078125,55990.29296875,57886.08984375,2475660,0.0,0.0
2024-08-05 00:00:00+00:00,57255.78125,57255.78125,48814.4296875,54114.10546875,2455299,0.0,0.0
2024-08-06 00:00:00+00:00,54114.8984375,56546.83203125,54013.703125,56084.375,677138,0.0,0.0
2024-08-07 00:00:00+00:00,55739.28515625,57345.40234375,54584.51171875,54584.51171875,852675,0.0,0.0
2024-08-08 00:00:00+00:00,54582.1171875,61749.58984375,54087.35546875,61749.58984375,787985,0.0,0.0
2024-08-09 00:00:00+00:00,61802.8984375,62028.25390625,59420.9375,60146.28515625,747055,0.0,0.0
2024-08-10 00:00:00+00:00,60146.28515625,60952.3671875,60146.25,60614.98046875,135755,0.0,0.0
2024-08-11 00:00:00+00:00,60614.98046875,61861.20703125,59564.21875,59654.13671875,380002,0.0,0.0
