TIMESTAMP,SIZE_OPEN_PRICE_USD,SIZE_HIGH_PRICE_USD,SIZE_LOW_PRICE_USD,SIZE_CLOSE_PRICE_USD,SIZE_VOLUME_USD,SIZE_DIVIDENDS_USD,SIZE_STOCK_SPLITS_USD
2023-12-26 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,309505,0.0,0.0
2023-12-27 00:00:00+00:00,1.9999999494757503e-05,3.199999991920777e-05,1.8999999156221747e-05,2.9000000722589903e-05,292985,0.0,0.0
2023-12-28 00:00:00+00:00,2.9000000722589903e-05,3.7000001611886546e-05,2.5999999706982635e-05,2.5999999706982635e-05,326687,0.0,0.0
2023-12-29 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,2.2000000171829015e-05,2.2000000171829015e-05,141522,0.0,0.0
2023-12-30 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,40008,0.0,0.0
2023-12-31 00:00:00+00:00,2.300000051036477e-05,2.5999999706982635e-05,2.099999983329326e-05,2.099999983329326e-05,92911,0.0,0.0
2024-01-01 00:00:00+00:00,2.099999983329326e-05,2.9000000722589903e-05,1.9999999494757503e-05,2.700000004551839e-05,125439,0.0,0.0
2024-01-02 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.5999999706982635e-05,2.5999999706982635e-05,108502,0.0,0.0
2024-01-03 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.099999983329326e-05,2.099999983329326e-05,171549,0.0,0.0
2024-01-04 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.5999999959603883e-05,1.8000000636675395e-05,148324,0.0,0.0
2024-01-05 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.4000000192027073e-05,81879,0.0,0.0
2024-01-06 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,9.000000318337698e-06,9.999999747378752e-06,61467,0.0,0.0
2024-01-07 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,55556,0.0,0.0
2024-01-08 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,7.999999979801942e-06,1.1000000085914508e-05,52530,0.0,0.0
2024-01-09 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,19481,0.0,0.0
2024-01-10 00:00:00+00:00,9.000000318337698e-06,1.4000000192027073e-05,9.000000318337698e-06,1.4000000192027073e-05,58830,0.0,0.0
2024-01-11 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,60341,0.0,0.0
2024-01-12 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,32301,0.0,0.0
2024-01-13 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,21218,0.0,0.0
2024-01-14 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,10698,0.0,0.0
2024-01-15 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,26582,0.0,0.0
2024-01-16 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,77313,0.0,0.0
2024-01-17 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,28895,0.0,0.0
2024-01-18 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,27874,0.0,0.0
2024-01-19 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,18018,0.0,0.0
2024-01-20 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,2408,0.0,0.0
2024-01-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,2235,0.0,0.0
2024-01-22 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,5828,0.0,0.0
2024-01-23 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,8635,0.0,0.0
2024-01-24 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,9603,0.0,0.0
2024-01-25 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,10450,0.0,0.0
2024-01-26 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,2060,0.0,0.0
2024-01-27 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,4958,0.0,0.0
2024-01-28 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3865,0.0,0.0
