TIMESTAMP,KENDU_OPEN_PRICE_USD,KENDU_HIGH_PRICE_USD,KENDU_LOW_PRICE_USD,KENDU_CLOSE_PRICE_USD,KENDU_VOLUME_USD,KENDU_DIVIDENDS_USD,KENDU_STOCK_SPLITS_USD
2024-05-08 00:00:00+00:00,2.9000000722589903e-05,3.400000059627928e-05,2.5999999706982635e-05,3.300000025774352e-05,2882140,0.0,0.0
2024-05-09 00:00:00+00:00,3.300000025774352e-05,5.999999848427251e-05,2.499999936844688e-05,4.600000102072954e-05,8860387,0.0,0.0
2024-05-10 00:00:00+00:00,4.600000102072954e-05,5.199999941396527e-05,3.400000059627928e-05,4.999999873689376e-05,2709453,0.0,0.0
2024-05-11 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,3.600000127335079e-05,3.899999865097925e-05,1759516,0.0,0.0
2024-05-12 00:00:00+00:00,3.7999998312443495e-05,4.199999966658652e-05,2.099999983329326e-05,3.7999998312443495e-05,1993429,0.0,0.0
2024-05-13 00:00:00+00:00,4.199999966658652e-05,4.70000013592653e-05,3.899999865097925e-05,4.5000000682193786e-05,1477757,0.0,0.0
2024-05-14 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,3.400000059627928e-05,3.899999865097925e-05,1209436,0.0,0.0
2024-05-15 00:00:00+00:00,3.899999865097925e-05,4.099999932805076e-05,3.300000025774352e-05,3.600000127335079e-05,1394072,0.0,0.0
2024-05-16 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.199999991920777e-05,3.7999998312443495e-05,850541,0.0,0.0
2024-05-17 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.099999958067201e-05,3.400000059627928e-05,864062,0.0,0.0
2024-05-18 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.9000000722589903e-05,3.300000025774352e-05,425039,0.0,0.0
2024-05-19 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,2.300000051036477e-05,2.499999936844688e-05,1090012,0.0,0.0
