,XMR,Lag
QTUM,1.6750590288234157e-07,23
USDT,7.902576197975072e-06,25
BAT,1.0341269753974617e-05,3
IOTA,1.1302518392625704e-05,20
XRP,2.163932412258334e-05,13
DOGE,3.403216437457957e-05,27
ZEC,0.0001520266459585,20
XLM,0.0008644890040801,25
DASH,0.0028572543964204,6
ETC,0.0035965045339029,20
DCR,0.0116044349342363,2
LTC,0.0255734387490485,2
ETH,0.0525668229031668,1
BTC,0.081171080927339,1
GNO,0.1577007703365285,21
