TIMESTAMP,S2K_OPEN_PRICE_USD,S2K_HIGH_PRICE_USD,S2K_LOW_PRICE_USD,S2K_CLOSE_PRICE_USD,S2K_VOLUME_USD,S2K_DIVIDENDS_USD,S2K_STOCK_SPLITS_USD
2022-05-31 00:00:00+00:00,,,,0.0,2124433,0.0,0.0
2022-06-01 00:00:00+00:00,,,,0.0,1889220,0.0,0.0
2022-06-02 00:00:00+00:00,,,,0.0,1376428,0.0,0.0
2022-06-03 00:00:00+00:00,,,,0.0,1087403,0.0,0.0
2022-06-04 00:00:00+00:00,,,,0.0,745986,0.0,0.0
2022-06-05 00:00:00+00:00,,,,0.0,605982,0.0,0.0
2022-06-06 00:00:00+00:00,,,,0.0,858483,0.0,0.0
2022-06-07 00:00:00+00:00,,,,0.0,527131,0.0,0.0
2022-06-08 00:00:00+00:00,,,,0.0,355148,0.0,0.0
2022-06-09 00:00:00+00:00,,,,0.0,326210,0.0,0.0
2022-06-10 00:00:00+00:00,,,,0.0,243502,0.0,0.0
2022-06-11 00:00:00+00:00,,,,0.0,194583,0.0,0.0
2022-06-12 00:00:00+00:00,,,,0.0,184772,0.0,0.0
2022-06-13 00:00:00+00:00,,,,0.0,154470,0.0,0.0
2022-06-14 00:00:00+00:00,,,,0.0,167839,0.0,0.0
2022-06-15 00:00:00+00:00,,,,0.0,219079,0.0,0.0
2022-06-16 00:00:00+00:00,,,,0.0,463448,0.0,0.0
2022-06-17 00:00:00+00:00,,,,0.0,376454,0.0,0.0
2022-06-18 00:00:00+00:00,,,,0.0,291797,0.0,0.0
2022-06-19 00:00:00+00:00,,,,0.0,319699,0.0,0.0
2022-06-20 00:00:00+00:00,,,,0.0,207990,0.0,0.0
2022-06-21 00:00:00+00:00,,,,0.0,177751,0.0,0.0
2022-06-22 00:00:00+00:00,,,,0.0,376110,0.0,0.0
2022-06-23 00:00:00+00:00,,,,0.0,403862,0.0,0.0
2022-06-24 00:00:00+00:00,,,,0.0,295917,0.0,0.0
2022-06-25 00:00:00+00:00,,,,0.0,278956,0.0,0.0
2022-06-26 00:00:00+00:00,,,,0.0,169351,0.0,0.0
2022-06-27 00:00:00+00:00,,,,0.0,183441,0.0,0.0
2022-06-28 00:00:00+00:00,,,,0.0,218475,0.0,0.0
2022-06-29 00:00:00+00:00,,,,0.0,212682,0.0,0.0
2022-06-30 00:00:00+00:00,,,,0.0,154293,0.0,0.0
2022-07-01 00:00:00+00:00,,,,0.0,82989,0.0,0.0
2022-07-02 00:00:00+00:00,,,,0.0,64753,0.0,0.0
2022-07-03 00:00:00+00:00,,,,0.0,58746,0.0,0.0
2022-07-04 00:00:00+00:00,,,,0.0,97552,0.0,0.0
2022-07-05 00:00:00+00:00,,,,0.0,564886,0.0,0.0
2022-07-06 00:00:00+00:00,,,,0.0,114382,0.0,0.0
2022-07-07 00:00:00+00:00,,,,0.0,208444,0.0,0.0
2022-07-08 00:00:00+00:00,,,,0.0,400800,0.0,0.0
2022-07-09 00:00:00+00:00,,,,0.0,385193,0.0,0.0
2022-07-10 00:00:00+00:00,,,,0.0,227533,0.0,0.0
2022-07-11 00:00:00+00:00,,,,0.0,1283342,0.0,0.0
2022-07-12 00:00:00+00:00,,,,0.0,2908677,0.0,0.0
