,XRP
ETH,0.7551571865099728
QTUM,0.711167434009058
ETC,0.6849385742840116
BTC,0.6768775925320494
XEM,0.6729653968719231
SC,0.6528102336813808
BTS,0.6359690894070146
LSK,0.6327789555671721
DGB,0.6250538879824182
DOGE,0.6232724589428101
FIRO,0.6018332262072972
KMD,0.599674747300304
STEEM,0.5847864257589641
MONA,0.5807879393688568
RLC,0.5600033840327697
GNO,0.552970035372974
DCR,0.5516494797144883
ARK,0.5501148963891256
ZEN,0.5475312715369567
SYS,0.5313190551911255
ANT,0.5215226668928673
MAID,0.495217456114971
VERI,0.3318199880695951
XWC,0.2804344111708884
CON,0.2326435265762099
USDT,0.0087060662761707
