TIMESTAMP,SCAT30382_OPEN_PRICE_USD,SCAT30382_HIGH_PRICE_USD,SCAT30382_LOW_PRICE_USD,SCAT30382_CLOSE_PRICE_USD,SCAT30382_VOLUME_USD,SCAT30382_DIVIDENDS_USD,SCAT30382_STOCK_SPLITS_USD
2024-04-04 00:00:00+00:00,0.001415999955497682,0.0017109999898821115,0.00012799999967683107,0.00012799999967683107,1320939,0.0,0.0
2024-04-05 00:00:00+00:00,0.00012799999967683107,0.00013800000306218863,5.900000178371556e-05,5.900000178371556e-05,40843,0.0,0.0
2024-04-06 00:00:00+00:00,5.900000178371556e-05,7.699999696342275e-05,5.0999999075429514e-05,5.0999999075429514e-05,11365,0.0,0.0
2024-04-07 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,2.4000000848900527e-05,2.4000000848900527e-05,14132,0.0,0.0
2024-04-08 00:00:00+00:00,2.4000000848900527e-05,9.500000305706635e-05,2.4000000848900527e-05,2.4000000848900527e-05,44483,0.0,0.0
2024-04-09 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,4.999999873689376e-06,9.999999747378752e-06,33729,0.0,0.0
2024-04-10 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,9.000000318337698e-06,1.2000000424450263e-05,6625,0.0,0.0
2024-04-11 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,7.999999979801942e-06,9.000000318337698e-06,6949,0.0,0.0
2024-04-12 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.999999979801942e-06,7.999999979801942e-06,3951,0.0,0.0
2024-04-13 00:00:00+00:00,7.999999979801942e-06,1.2999999853491317e-05,7.999999979801942e-06,9.999999747378752e-06,5323,0.0,0.0
2024-04-14 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,2473,0.0,0.0
2024-04-15 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.999999747378752e-06,9.999999747378752e-06,662,0.0,0.0
2024-04-16 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,316,0.0,0.0
2024-04-17 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,642,0.0,0.0
2024-04-18 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,314,0.0,0.0
2024-04-19 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,1784,0.0,0.0
2024-04-20 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,424,0.0,0.0
2024-04-21 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,328,0.0,0.0
2024-04-22 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,151,0.0,0.0
2024-04-23 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,163,0.0,0.0
2024-04-24 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,205,0.0,0.0
2024-04-25 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,168,0.0,0.0
