TIMESTAMP,WUF_OPEN_PRICE_USD,WUF_HIGH_PRICE_USD,WUF_LOW_PRICE_USD,WUF_CLOSE_PRICE_USD,WUF_VOLUME_USD,WUF_DIVIDENDS_USD,WUF_STOCK_SPLITS_USD
2024-04-17 00:00:00+00:00,,,,0.0,1051510,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,2008353,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,1475290,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,2055073,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,1128785,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,969451,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,550194,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,582309,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,346347,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,258899,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,135279,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,232714,0.0,0.0
2024-04-29 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,6567133,0.0,0.0
2024-04-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,7963545,0.0,0.0
2024-05-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,1380717,0.0,0.0
2024-05-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1241085,0.0,0.0
2024-05-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,721741,0.0,0.0
2024-05-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,575444,0.0,0.0
2024-05-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,457111,0.0,0.0
2024-05-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,519223,0.0,0.0
2024-05-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,350968,0.0,0.0
2024-05-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,352377,0.0,0.0
2024-05-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,574351,0.0,0.0
2024-05-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1409620,0.0,0.0
2024-05-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,218474,0.0,0.0
2024-05-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,694739,0.0,0.0
2024-05-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,237323,0.0,0.0
2024-05-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,402052,0.0,0.0
2024-05-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,548945,0.0,0.0
2024-05-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,555749,0.0,0.0
2024-05-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,807333,0.0,0.0
