TIMESTAMP,CBE32701_OPEN_PRICE_USD,CBE32701_HIGH_PRICE_USD,CBE32701_LOW_PRICE_USD,CBE32701_CLOSE_PRICE_USD,CBE32701_VOLUME_USD,CBE32701_DIVIDENDS_USD,CBE32701_STOCK_SPLITS_USD
2024-08-16 00:00:00+00:00,,,,0.0,2206,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,2075,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,431,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,33,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,106,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,452,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,171,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,301,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,259,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,109,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,141,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,34,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,72,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,64,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,810,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,60,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,53,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-09-06 00:00:00+00:00,,,,0.0,35,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,39,0.0,0.0
2024-09-08 00:00:00+00:00,,,,0.0,417,0.0,0.0
2024-09-09 00:00:00+00:00,,,,0.0,7,0.0,0.0
2024-09-12 00:00:00+00:00,,,,0.0,50,0.0,0.0
2024-09-13 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-09-14 00:00:00+00:00,,,,0.0,579,0.0,0.0
2024-09-15 00:00:00+00:00,,,,0.0,186,0.0,0.0
2024-09-16 00:00:00+00:00,,,,0.0,1047,0.0,0.0
2024-09-17 00:00:00+00:00,,,,0.0,74,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,2496,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,352,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,136,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,253,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,107,0.0,0.0
