,XRP,Lag
XEM,1.5937505345222498e-18,26
BTS,5.17757482465475e-13,5
DOGE,3.828251696707642e-10,6
USDT,2.190229579410913e-08,29
QTUM,1.696500824952977e-07,14
SC,1.22871070142594e-06,13
MONA,2.0155133839609813e-06,29
BTC,3.613470021872878e-06,28
ETH,4.991990937618721e-05,3
RLC,0.004562510560656,1
GNO,0.0114290469656257,20
DGB,0.0116473657096032,12
LSK,0.0118024660434168,10
ANT,0.0370631162555416,1
DCR,0.051252182353536,3
KMD,0.0524343260565992,1
MAID,0.0586891099107703,3
SYS,0.0688619826250335,3
ETC,0.0750898823851139,8
ARK,0.0885770846706748,11
STEEM,0.1195276284478646,29
FIRO,0.1236188358751126,1
ZEN,0.1324820404421044,3
CON,0.20982807739809,1
VERI,0.3120029338637665,1
XWC,0.6826253738481294,16
