TIMESTAMP,PWOG_OPEN_PRICE_USD,PWOG_HIGH_PRICE_USD,PWOG_LOW_PRICE_USD,PWOG_CLOSE_PRICE_USD,PWOG_VOLUME_USD,PWOG_DIVIDENDS_USD,PWOG_STOCK_SPLITS_USD
2025-03-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2592,0.0,0.0
2025-03-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3167,0.0,0.0
2025-03-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,3928,0.0,0.0
2025-03-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,2534,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,2103,0.0,0.0
2025-03-29 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,1949,0.0,0.0
2025-03-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23490,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,19790,0.0,0.0
2025-04-01 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,6280,0.0,0.0
2025-04-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,0,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,416,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,949,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,1189,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,3705,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,1196,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,859,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,554,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,961,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,67,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,66,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,17404,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,349,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,253,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,1989,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,113,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,266,0.0,0.0
2025-05-20 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,8093,0.0,0.0
2025-05-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,42062,0.0,0.0
2025-05-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,0,0.0,0.0
2025-05-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2767,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,3381,0.0,0.0
2025-05-25 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,2308,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,361,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,442,0.0,0.0
2025-06-01 00:00:00+00:00,3.149799283619359e-07,4.2153334334216197e-07,3.149799283619359e-07,3.860832578084228e-07,1091,0.0,0.0
