TIMESTAMP,MCOIN33094_OPEN_PRICE_USD,MCOIN33094_HIGH_PRICE_USD,MCOIN33094_LOW_PRICE_USD,MCOIN33094_CLOSE_PRICE_USD,MCOIN33094_VOLUME_USD,MCOIN33094_DIVIDENDS_USD,MCOIN33094_STOCK_SPLITS_USD
2024-09-21 00:00:00+00:00,0.0024429999757558107,0.0029140000697225332,0.002394000068306923,0.00291300006210804,167305,0.0,0.0
2024-09-22 00:00:00+00:00,0.0028979999478906393,0.003091000020503998,0.0024739999789744616,0.002529999939724803,133156,0.0,0.0
2024-09-23 00:00:00+00:00,0.002529999939724803,0.002532999962568283,0.002196999965235591,0.0023539999965578318,71853,0.0,0.0
2024-09-24 00:00:00+00:00,0.0023539999965578318,0.0024029999040067196,0.00228899996727705,0.0023799999617040157,53348,0.0,0.0
2024-09-25 00:00:00+00:00,0.0023799999617040157,0.002391000045463443,0.0020520000252872705,0.002068999921903014,70079,0.0,0.0
2024-09-26 00:00:00+00:00,0.002068999921903014,0.0021979999728500843,0.0020580000709742308,0.0021170000545680523,70438,0.0,0.0
2024-09-27 00:00:00+00:00,0.0021170000545680523,0.00227600010111928,0.0019539999775588512,0.0019539999775588512,121814,0.0,0.0
2024-09-28 00:00:00+00:00,0.0019539999775588512,0.00215000007301569,0.0019120000069960952,0.00203399988822639,54465,0.0,0.0
2024-09-29 00:00:00+00:00,0.00203399988822639,0.0020490000024437904,0.001981999957934022,0.0020439999643713236,39054,0.0,0.0
2024-09-30 00:00:00+00:00,0.0020439999643713236,0.0020439999643713236,0.0018570000538602471,0.0018870000494644046,31217,0.0,0.0
2024-10-01 00:00:00+00:00,0.0018870000494644046,0.0018990000244230032,0.0016220000106841326,0.0016220000106841326,28133,0.0,0.0
2024-10-02 00:00:00+00:00,0.0016220000106841326,0.0016609999584034085,0.0015239999629557133,0.0015539999585598707,29678,0.0,0.0
2024-10-03 00:00:00+00:00,0.0015539999585598707,0.0017049999441951513,0.001484000007621944,0.0017049999441951513,31752,0.0,0.0
