,ETH,Lag
DOGE,1.1555563246618906e-06,5
PIVX,0.0002389409631237,23
FIRO,0.0005434941212187,13
RLC,0.0036386901521428,15
STEEM,0.006430990936979,19
ETC,0.0069740387781758,28
DCR,0.008942662339645,19
DGB,0.0094835279024709,26
SYS,0.0202906097442158,4
SC,0.0448495523488204,6
GAS,0.0464098032484429,14
WAVES,0.0502699067424701,4
BAT,0.050645087227206,15
ANT,0.0612773320829873,1
XEM,0.066246360017612,11
LUNC,0.0663576337978952,3
DASH,0.0830474670319987,9
GNO,0.0896858268612343,17
ZEN,0.1190136320725666,27
QTUM,0.1222772744841678,27
BTC,0.1407051556655001,27
KMD,0.1449495142356169,5
MIOTA,0.1540323679344288,7
ZEC,0.1875765120920287,11
BTS,0.2401933074018596,7
ARK,0.2844808459605503,10
XRP,0.3350067859663632,9
XMR,0.3395330174539617,9
LTC,0.4888196233059901,27
XLM,0.549585357255227,6
LSK,0.6578515460948786,15
