TIMESTAMP,REMUS_OPEN_PRICE_USD,REMUS_HIGH_PRICE_USD,REMUS_LOW_PRICE_USD,REMUS_CLOSE_PRICE_USD,REMUS_VOLUME_USD,REMUS_DIVIDENDS_USD,REMUS_STOCK_SPLITS_USD
2025-04-09 00:00:00+00:00,,,,0.0,171712,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,19985,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,7476,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,1855,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,481,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,22,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,3182,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,987,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,30,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,163,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,172,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-05-31 00:00:00+00:00,9.306800257758222e-14,9.306800257758222e-14,9.306780606593845e-14,9.306780606593845e-14,29,0.0,0.0
