TIMESTAMP,JOJO_OPEN_PRICE_USD,JOJO_HIGH_PRICE_USD,JOJO_LOW_PRICE_USD,JOJO_CLOSE_PRICE_USD,JOJO_VOLUME_USD,JOJO_DIVIDENDS_USD,JOJO_STOCK_SPLITS_USD
2021-08-04 00:00:00+00:00,4.400000034365803e-05,5.0999999075429514e-05,3.7999998312443495e-05,4.400000034365803e-05,555804,0.0,0.0
2021-08-05 00:00:00+00:00,4.400000034365803e-05,5.400000009103678e-05,0.0,5.2999999752501026e-05,593275,0.0,0.0
2021-08-06 00:00:00+00:00,5.2999999752501026e-05,7.79999973019585e-05,9.999999974752427e-07,7.79999973019585e-05,991813,0.0,0.0
2021-08-07 00:00:00+00:00,7.79999973019585e-05,8.600000001024455e-05,6.500000017695129e-05,6.800000119255856e-05,1718160,0.0,0.0
2021-08-08 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,5.400000009103678e-05,5.500000042957254e-05,1158737,0.0,0.0
2021-08-09 00:00:00+00:00,5.500000042957254e-05,6.299999949987978e-05,5.400000009103678e-05,5.900000178371556e-05,549281,0.0,0.0
2021-08-10 00:00:00+00:00,5.900000178371556e-05,6.70000008540228e-05,5.8000001445179805e-05,6.600000051548705e-05,625491,0.0,0.0
2021-08-11 00:00:00+00:00,6.600000051548705e-05,8.600000001024455e-05,6.600000051548705e-05,7.999999797903001e-05,848656,0.0,0.0
2021-08-12 00:00:00+00:00,7.999999797903001e-05,8.499999967170879e-05,7.300000288523734e-05,7.899999764049426e-05,871532,0.0,0.0
2021-08-13 00:00:00+00:00,7.899999764049426e-05,9.300000237999484e-05,7.79999973019585e-05,8.399999933317304e-05,757092,0.0,0.0
2021-08-14 00:00:00+00:00,8.399999933317304e-05,9.200000204145908e-05,7.599999662488699e-05,7.699999696342275e-05,696233,0.0,0.0
2021-08-15 00:00:00+00:00,7.699999696342275e-05,7.79999973019585e-05,6.900000153109431e-05,7.500000356230885e-05,499232,0.0,0.0
2021-08-16 00:00:00+00:00,7.500000356230885e-05,7.79999973019585e-05,7.200000254670158e-05,7.300000288523734e-05,305658,0.0,0.0
2021-08-17 00:00:00+00:00,7.300000288523734e-05,7.599999662488699e-05,7.100000220816582e-05,7.100000220816582e-05,283515,0.0,0.0
2021-08-18 00:00:00+00:00,7.100000220816582e-05,8.199999865610152e-05,6.800000119255856e-05,7.500000356230885e-05,313936,0.0,0.0
2021-08-19 00:00:00+00:00,7.500000356230885e-05,8.70000003487803e-05,7.200000254670158e-05,7.599999662488699e-05,483546,0.0,0.0
2021-08-20 00:00:00+00:00,7.599999662488699e-05,8.299999899463728e-05,7.000000186963007e-05,7.200000254670158e-05,589115,0.0,0.0
2021-08-21 00:00:00+00:00,7.200000254670158e-05,7.300000288523734e-05,6.900000153109431e-05,7.000000186963007e-05,366309,0.0,0.0
2021-08-22 00:00:00+00:00,7.000000186963007e-05,7.200000254670158e-05,6.70000008540228e-05,6.900000153109431e-05,156733,0.0,0.0
2021-08-23 00:00:00+00:00,6.900000153109431e-05,8.199999865610152e-05,6.900000153109431e-05,8.099999831756577e-05,241502,0.0,0.0
2021-08-24 00:00:00+00:00,8.099999831756577e-05,8.399999933317304e-05,7.000000186963007e-05,7.100000220816582e-05,359203,0.0,0.0
2021-08-25 00:00:00+00:00,7.100000220816582e-05,7.899999764049426e-05,7.000000186963007e-05,7.79999973019585e-05,331204,0.0,0.0
2021-08-26 00:00:00+00:00,7.79999973019585e-05,8.099999831756577e-05,7.300000288523734e-05,7.400000322377309e-05,212742,0.0,0.0
2021-08-27 00:00:00+00:00,7.400000322377309e-05,8.800000068731606e-05,7.200000254670158e-05,8.600000001024455e-05,314214,0.0,0.0
2021-08-28 00:00:00+00:00,8.600000001024455e-05,8.900000102585182e-05,8.499999967170879e-05,8.600000001024455e-05,378030,0.0,0.0
2021-08-29 00:00:00+00:00,8.499999967170879e-05,8.800000068731606e-05,8.499999967170879e-05,8.600000001024455e-05,240543,0.0,0.0
2021-08-30 00:00:00+00:00,8.600000001024455e-05,8.900000102585182e-05,8.199999865610152e-05,8.199999865610152e-05,188480,0.0,0.0
2021-08-31 00:00:00+00:00,8.199999865610152e-05,8.499999967170879e-05,7.999999797903001e-05,8.399999933317304e-05,201008,0.0,0.0
2021-09-01 00:00:00+00:00,8.399999933317304e-05,8.800000068731606e-05,8.199999865610152e-05,8.70000003487803e-05,197239,0.0,0.0
2021-09-02 00:00:00+00:00,8.70000003487803e-05,9.000000136438757e-05,8.499999967170879e-05,8.600000001024455e-05,152439,0.0,0.0
2021-09-03 00:00:00+00:00,8.600000001024455e-05,8.800000068731606e-05,8.399999933317304e-05,8.600000001024455e-05,153776,0.0,0.0
2021-09-04 00:00:00+00:00,8.600000001024455e-05,8.800000068731606e-05,8.299999899463728e-05,8.399999933317304e-05,161023,0.0,0.0
2021-09-05 00:00:00+00:00,8.399999933317304e-05,8.499999967170879e-05,8.099999831756577e-05,8.199999865610152e-05,130503,0.0,0.0
