TIMESTAMP,RATS_OPEN_PRICE_USD,RATS_HIGH_PRICE_USD,RATS_LOW_PRICE_USD,RATS_CLOSE_PRICE_USD,RATS_VOLUME_USD,RATS_DIVIDENDS_USD,RATS_STOCK_SPLITS_USD
2022-03-28 00:00:00+00:00,,,,0.0,5428648,0.0,0.0
2022-03-29 00:00:00+00:00,,,,0.0,4102539,0.0,0.0
2022-03-30 00:00:00+00:00,,,,0.0,1968679,0.0,0.0
2022-03-31 00:00:00+00:00,,,,0.0,2373287,0.0,0.0
2022-04-01 00:00:00+00:00,,,,0.0,2843250,0.0,0.0
2022-04-02 00:00:00+00:00,,,,0.0,1110014,0.0,0.0
2022-04-03 00:00:00+00:00,,,,0.0,865704,0.0,0.0
2022-04-04 00:00:00+00:00,,,,0.0,804970,0.0,0.0
2022-04-05 00:00:00+00:00,,,,0.0,593192,0.0,0.0
2022-04-06 00:00:00+00:00,,,,0.0,548373,0.0,0.0
2022-04-07 00:00:00+00:00,,,,0.0,1352842,0.0,0.0
2022-04-08 00:00:00+00:00,,,,0.0,4343028,0.0,0.0
2022-04-09 00:00:00+00:00,,,,0.0,7737390,0.0,0.0
2022-04-10 00:00:00+00:00,,,,0.0,5817054,0.0,0.0
2022-04-11 00:00:00+00:00,,,,0.0,3210643,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,2965245,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,2903692,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,3090685,0.0,0.0
2022-04-15 00:00:00+00:00,,,,0.0,2031350,0.0,0.0
2022-04-16 00:00:00+00:00,,,,0.0,1459901,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,1025644,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,896435,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,1185440,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,1371058,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,1130303,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,633811,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,477680,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,541446,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,632610,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,554679,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,501206,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,460904,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,400153,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,402726,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,292164,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,214270,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,183337,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,205943,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,184615,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,163372,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,186262,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,135203,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,80348,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,77127,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,53029,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,57860,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,54136,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,257659,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,459238,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,255210,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,115157,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,72519,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,383613,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,2318937,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,2278234,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,505160,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,356702,0.0,0.0
2022-05-24 00:00:00+00:00,,,,0.0,604820,0.0,0.0
2022-05-25 00:00:00+00:00,,,,0.0,589235,0.0,0.0
2022-05-26 00:00:00+00:00,,,,0.0,240829,0.0,0.0
2022-05-27 00:00:00+00:00,,,,0.0,588574,0.0,0.0
