TIMESTAMP,SHI19736_OPEN_PRICE_USD,SHI19736_HIGH_PRICE_USD,SHI19736_LOW_PRICE_USD,SHI19736_CLOSE_PRICE_USD,SHI19736_VOLUME_USD,SHI19736_DIVIDENDS_USD,SHI19736_STOCK_SPLITS_USD
2022-04-26 00:00:00+00:00,,,,0.0,219224,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,374592,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,673873,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,389279,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,193132,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,367989,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,515832,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,4997160,0.0,0.0
2022-05-04 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,2010018,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,280354,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,419129,0.0,0.0
2022-05-07 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,4368900,0.0,0.0
2022-05-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,8172187,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,2452665,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,1487331,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,830273,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,3836025,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,3590198,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,212739,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,4621886,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,146482,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,3664586,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,152199,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,170962,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,105718,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,283909,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,56619,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,318198,0.0,0.0
