,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XMR}/\emph{USDT} OP,7043,145.86,88.75,30.21,52.42,67.75,117.87,217.75,287.41,515.99
\emph{XMR}/\emph{USDT} HP,7043,148.28,90.55,32.59,52.98,68.32,119.42,221.29,292.14,519.13
\emph{XMR}/\emph{USDT} LP,7043,143.29,86.76,25.08,51.99,66.98,116.17,213.23,282.27,485.11
\emph{XMR}/\emph{USDT} CP,7043,145.88,88.75,30.21,52.44,67.75,117.89,217.75,287.41,515.99
