,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XMR}/\emph{USDT} OP,28172,145.86,88.73,27.02,52.42,67.72,117.87,217.53,287.30,515.99
\emph{XMR}/\emph{USDT} HP,28172,147.04,89.62,30.39,52.67,68.00,118.59,219.45,289.60,519.13
\emph{XMR}/\emph{USDT} LP,28172,144.60,87.74,25.08,52.20,67.35,117.06,215.35,285.10,500.36
\emph{XMR}/\emph{USDT} CP,28172,145.86,88.72,27.02,52.42,67.72,117.88,217.53,287.30,515.99
