,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XMR}/\emph{USDT} OP,1826,142.31,90.49,29.20,45.61,66.02,113.49,208.59,314.16,484.29
\emph{XMR}/\emph{USDT} HP,1826,148.66,95.57,32.76,46.80,68.30,117.52,217.75,328.68,519.13
\emph{XMR}/\emph{USDT} LP,1826,135.44,84.71,25.08,43.96,64.07,108.63,199.02,290.13,451.24
\emph{XMR}/\emph{USDT} CP,1826,142.39,90.46,29.20,45.61,66.01,113.64,208.74,314.00,484.00
