TIMESTAMP,STEEM_CLOSE_PRICE_USD,STEEM_OPEN_PRICE_USD,STEEM_HIGH_PRICE_USD,STEEM_LOW_PRICE_USD
2017-12-08,1.9444,2.15,2.35,1.493
2017-12-09,1.6471,1.9762,1.9762,1.5065
2017-12-10,1.6567,1.6471,2.0522,1.2564
2017-12-11,1.7417,1.6567,1.7869,1.5923
2017-12-12,1.8644,1.7667,1.8966,1.6532
2017-12-13,1.7742,1.8644,1.8966,1.6508
2017-12-14,2.041,1.7742,2.1333,1.7419
2017-12-15,1.9825,2.0492,2.0893,1.7759
2017-12-16,2.1154,1.9825,2.3333,1.9825
2017-12-17,2.283,2.125,2.4038,2.0755
2017-12-18,3.0,2.2925,3.0,2.1964
2017-12-19,3.0086,2.9811,3.5566,2.7417
2017-12-20,3.377,2.9397,3.6667,2.381
2017-12-21,3.6719,3.377,4.1667,3.2787
2017-12-22,2.8158,3.6719,3.8594,1.957
2017-12-23,3.0845,2.8487,3.4478,2.6364
2017-12-24,3.2973,3.0915,3.6986,2.593
2017-12-25,3.3288,3.2635,3.3973,2.9304
2017-12-26,3.3828,3.3425,3.6181,3.0923
2017-12-27,3.2308,3.3594,3.3594,2.9928
2017-12-28,2.8786,3.2077,3.2879,2.5915
2017-12-29,3.0929,2.8786,3.1594,2.6875
2017-12-30,2.6173,3.0929,3.3143,2.4458
2017-12-31,2.99306,2.6519,3.02778,2.6125
2018-01-01,3.97333,2.96575,4.4726,2.78947
2018-01-02,6.61765,4.02667,7.11765,3.93243
2018-01-03,8.12121,6.91177,8.40298,6.01471
2018-01-04,6.62121,8.12121,8.19231,6.58209
2018-01-05,5.64407,6.62121,7.0597,5.51695
2018-01-06,6.63793,5.64407,6.93443,5.18333
2018-01-07,6.34819,6.63793,6.68333,6.04918
2018-01-08,5.95408,6.35522,6.36907,5.09236
2018-01-09,5.86412,5.94062,6.24828,5.63143
2018-01-10,5.26389,5.87767,5.88788,4.69707
2018-01-11,4.34825,5.2733,5.28747,3.70324
2018-01-12,5.34594,4.33969,5.79696,4.05758
2018-01-13,6.19706,5.36761,6.51387,5.35354
2018-01-14,5.80106,6.19415,6.22743,5.29381
2018-01-15,5.43813,5.79163,6.34929,5.39176
2018-01-16,3.80623,5.46555,5.46555,2.99712
2018-01-17,4.04497,3.7921,4.19755,2.73873
2018-01-18,4.1066,4.07649,4.52058,3.6735
2018-01-19,4.75109,4.11366,5.37789,4.04971
2018-01-20,5.50369,4.76707,5.87398,4.67599
2018-01-21,4.88229,5.50369,5.9043,4.5416
2018-01-22,4.36785,4.97754,5.07599,3.82907
2018-01-23,4.27695,4.37922,4.55003,3.82698
2018-01-24,6.22099,4.27498,6.22099,4.10569
2018-01-25,6.46478,6.2662,6.80972,5.6513
2018-01-26,6.20098,6.4583,6.6796,5.31493
2018-01-27,6.09265,6.18587,6.3564,5.77935
2018-01-28,6.23416,6.07357,6.23416,5.79492
2018-01-29,5.64189,6.22649,6.22649,5.50272
2018-01-30,4.53996,5.63054,5.63054,4.46535
2018-01-31,5.02572,4.54981,5.27967,4.0484
2018-02-01,4.89155,5.0252,5.93149,4.47935
2018-02-02,4.47218,4.88917,5.10436,3.33632
2018-02-03,4.75247,4.50658,4.82803,3.74916
2018-02-04,3.9134,4.75148,4.75148,3.61214
2018-02-05,3.22128,3.9097,4.18617,2.96674
2018-02-06,3.81433,3.22235,3.99096,2.60349
2018-02-07,3.54307,3.79942,4.1114,3.41424
2018-02-08,3.83282,3.55099,3.93857,3.54532
2018-02-09,4.15639,3.81429,4.21245,3.67285
2018-02-10,4.19895,4.16331,4.77012,3.85299
2018-02-11,3.78168,4.21314,4.22065,3.59573
2018-02-12,4.091,3.85093,4.13214,3.80338
2018-02-13,3.988,4.11742,4.26978,3.80914
2018-02-14,4.35179,4.01482,4.37801,3.91209
2018-02-15,4.32814,4.35805,4.46327,4.13577
2018-02-16,4.40476,4.34725,4.42715,4.1012
2018-02-17,4.52931,4.38526,4.54009,4.29884
2018-02-18,4.02882,4.53382,4.57735,3.91658
2018-02-19,4.35954,4.06299,4.42903,3.9621
2018-02-20,3.87215,4.36908,4.39377,3.793
2018-02-21,3.51101,3.86035,3.86035,3.44253
2018-02-22,3.27415,3.5151,3.62145,3.10708
2018-02-23,3.4741,3.27009,3.63923,3.10853
2018-02-24,3.26072,3.47454,3.54519,3.13915
2018-02-25,3.37825,3.273,3.42041,3.19147
2018-02-26,3.50918,3.37825,3.50918,3.20746
2018-02-27,3.40241,3.50918,3.54545,3.33502
2018-02-28,3.19493,3.40241,3.48911,3.17343
2018-03-01,3.40538,3.19493,3.46041,3.08387
2018-03-02,3.30719,3.40538,3.40538,3.1526
2018-03-03,3.59703,3.29743,3.62746,0.0
2018-03-04,3.53636,3.61977,3.61977,0.0
2018-03-05,3.45451,3.53636,3.66003,3.41919
2018-03-06,3.16626,3.45451,3.45451,3.13847
2018-03-07,2.72317,3.16626,3.25357,2.51308
2018-03-08,2.58322,2.72317,2.90041,2.57638
2018-03-09,2.51862,2.58322,2.63441,2.1263
2018-03-10,2.34962,2.51871,2.58214,0.0
2018-03-11,2.50385,2.35209,2.60088,0.0
2018-03-12,2.38901,2.50385,2.6113,2.31004
2018-03-13,2.43765,2.38901,2.54822,2.22099
2018-03-14,2.20228,2.43765,2.67297,2.08799
2018-03-15,2.10743,2.20228,2.22252,1.89643
2018-03-16,2.04693,2.10743,2.1622,0.0
2018-03-17,1.81068,2.03622,2.03622,0.0
2018-03-18,1.81176,1.8067,1.85072,0.0
2018-03-19,2.03982,1.81176,2.03982,1.80821
2018-03-20,2.16609,2.03982,2.27074,1.95041
2018-03-21,2.16242,2.16609,2.28054,2.13981
2018-03-22,2.08407,2.16242,2.22504,1.95568
2018-03-23,1.99168,2.08407,2.09816,1.8641
2018-03-24,1.93812,1.99305,2.16757,0.0
2018-03-25,1.97099,0.0,2.04747,0.0
2018-03-26,1.81333,1.97099,1.98647,1.71622
2018-03-27,1.69841,1.81333,1.83245,1.62184
2018-03-28,1.89216,1.69841,1.94609,1.67896
2018-03-29,1.64348,1.89216,1.89504,1.60337
2018-03-30,1.52736,1.64348,1.64359,0.0
2018-03-31,1.50627,1.52729,1.58405,0.0
2018-04-01,1.41848,1.50627,1.50627,0.0
2018-04-02,1.66976,1.41848,1.66976,1.40526
2018-04-03,2.01722,1.66976,2.64868,1.59422
2018-04-04,1.86854,2.01722,2.21557,1.77529
2018-04-05,1.71144,1.86854,1.86997,0.0
2018-04-06,1.74129,1.71144,1.93905,1.63567
2018-04-07,1.8606,0.0,1.98247,0.0
2018-04-08,1.91351,1.88379,1.93115,0.0
2018-04-09,1.81082,1.91351,2.12519,1.76471
2018-04-10,1.84415,1.81082,1.84959,1.75248
2018-04-11,1.95599,1.84415,2.01627,1.81876
2018-04-12,2.77514,1.95599,2.82436,1.92487
2018-04-13,2.70891,2.77514,3.45337,2.60781
2018-04-14,2.66414,2.70825,2.71611,0.0
2018-04-15,2.80453,2.66455,2.80453,0.0
2018-04-16,2.672,2.80453,2.85722,2.551
2018-04-17,2.78681,2.672,2.88344,2.59013
2018-04-18,3.03369,2.78681,3.06258,2.73418
2018-04-19,3.09181,3.03369,3.20824,2.86577
2018-04-20,3.28533,3.09181,3.29638,2.9429
2018-04-21,3.06195,3.29479,3.29479,0.0
2018-04-22,3.03757,3.06627,3.14234,0.0
2018-04-23,3.24455,3.03757,3.32225,3.00452
2018-04-24,3.48803,3.24455,3.55024,3.23508
2018-04-25,4.18066,3.48803,4.35566,3.00322
2018-04-26,4.1332,4.18066,4.31617,3.4132
2018-04-27,4.25583,4.1332,4.57636,3.73901
2018-04-28,4.37998,4.23316,4.43958,4.11423
2018-04-29,4.21339,4.37998,4.44131,3.92588
2018-04-30,3.88653,4.21339,4.24544,3.82891
2018-05-01,3.91958,3.88653,3.93568,3.57496
2018-05-02,4.06751,3.91958,4.07013,3.79342
2018-05-03,4.06953,4.06751,4.13882,3.83041
2018-05-04,3.8953,4.06953,4.07383,3.77789
2018-05-05,3.80924,3.89341,4.02181,3.68028
2018-05-06,3.72472,3.78613,3.80039,3.5486
2018-05-07,3.55487,3.72472,3.72755,3.3797
2018-05-08,3.55116,3.49359,3.63112,0.00037
2018-05-09,3.467,3.54985,3.56337,3.29436
2018-05-10,3.21568,3.467,3.5155,3.21027
2018-05-11,2.8265,3.21568,3.24149,2.56527
2018-05-12,2.75923,2.82204,2.9184,2.52124
2018-05-13,3.08574,2.76619,3.12019,2.70255
2018-05-14,3.1262,3.08574,3.27676,2.83191
2018-05-15,2.90927,3.12621,3.25306,2.89054
2018-05-16,2.82948,2.9103,2.9556,2.67556
2018-05-17,2.73241,2.83631,3.01192,2.72909
2018-05-18,3.01883,2.7285,3.03266,2.66655
2018-05-19,3.03552,3.01805,3.19307,2.9627
2018-05-20,3.09721,3.03278,3.12255,2.99083
2018-05-21,2.97082,3.09721,3.10515,2.93802
2018-05-22,2.89437,2.97082,3.14241,2.8863
2018-05-23,2.9621,2.88601,3.117,2.67869
2018-05-24,2.94864,2.98442,3.38876,2.71402
2018-05-25,2.73532,2.95383,2.95383,2.70625
2018-05-26,2.63605,2.73482,2.74916,2.62104
2018-05-27,2.512,2.63664,2.63664,2.48468
2018-05-28,2.17217,2.51288,2.54468,2.1668
2018-05-29,2.38114,2.17138,2.46316,2.10135
2018-05-30,2.3488,2.37813,2.47132,2.25195
2018-05-31,2.39042,2.34876,2.43895,2.29438
2018-06-01,2.41422,2.39064,2.43181,2.34419
2018-06-02,2.49634,2.41615,2.58127,2.38169
2018-06-03,2.54881,2.49566,2.5918,2.49136
2018-06-04,2.3437,2.54939,2.57136,2.31382
2018-06-05,2.36378,2.34276,2.40066,2.23104
2018-06-06,2.42101,2.36473,2.46052,2.30829
2018-06-07,2.34894,2.41272,2.45546,2.33113
2018-06-08,2.28378,2.3478,2.35856,2.24546
2018-06-09,2.2259,2.28451,2.31222,2.2167
2018-06-10,1.8395,2.22681,2.23676,1.80376
2018-06-11,1.85571,1.84314,1.90541,1.71438
2018-06-12,1.71521,1.85527,1.94575,1.69286
2018-06-13,1.63064,1.70866,1.76385,1.5671
2018-06-14,1.77615,1.64021,1.80049,1.61053
2018-06-15,1.64268,1.77955,1.77955,1.63894
2018-06-16,1.643,1.64345,1.67181,1.61068
2018-06-17,1.61104,1.6433,1.67379,1.61075
2018-06-18,1.65864,1.61231,1.66595,1.54215
2018-06-19,1.68767,1.65676,1.72852,1.61774
2018-06-20,1.63607,1.68577,1.69126,1.58388
2018-06-21,1.56031,1.63599,1.6392,1.54985
2018-06-22,1.34033,1.56043,1.56686,1.31065
2018-06-23,1.34454,1.33976,1.37862,1.31725
2018-06-24,1.30028,1.34629,1.35292,1.21344
2018-06-25,1.33782,1.29986,1.36557,1.26887
2018-06-26,1.26892,1.33842,1.40825,1.25949
2018-06-27,1.27466,1.27089,1.29525,1.24925
2018-06-28,1.17257,1.2746,1.28145,1.16681
2018-06-29,1.21562,1.17069,1.23167,1.1301
2018-06-30,1.5992,1.21599,1.67006,1.21592
2018-07-01,1.62503,1.58539,1.83477,1.52085
2018-07-02,1.68005,1.61777,1.73773,2e-05
2018-07-03,1.59912,1.68005,1.71837,0.02204
2018-07-04,1.62897,1.59912,1.68189,1.52092
2018-07-05,1.55756,1.62897,1.68587,1.49571
2018-07-06,1.57878,1.55756,1.71758,1.45061
2018-07-07,1.59496,1.57953,1.60296,1.47773
2018-07-08,1.55816,1.59479,1.64577,1.54051
2018-07-09,1.47693,1.55816,1.58198,1.47571
2018-07-10,1.32431,1.47693,1.47986,1.31777
2018-07-11,1.31761,1.32431,1.37556,1.256
2018-07-12,1.26487,1.31761,1.3277,1.22969
2018-07-13,1.29781,1.26487,1.34037,1.25432
2018-07-14,1.27857,1.29781,1.30806,1.26159
2018-07-15,1.31522,1.27857,1.32969,1.26529
2018-07-16,1.42656,1.31522,1.43305,1.29217
2018-07-17,1.56859,1.42656,1.59254,1.38607
2018-07-18,1.57455,1.56859,1.72305,1.53487
2018-07-19,1.50813,1.57455,1.57967,1.49941
2018-07-20,1.35564,1.50813,1.55983,1.34661
2018-07-21,1.44665,1.35546,1.48249,1.33059
2018-07-22,1.38259,1.44665,1.46494,1.37242
2018-07-23,1.354,1.38259,1.53485,1.34311
2018-07-24,1.45254,1.354,1.46071,1.29479
2018-07-25,1.4612,1.45254,1.51719,1.40465
2018-07-26,1.5037,1.4612,1.59766,1.4612
2018-07-27,1.48081,1.5037,1.55358,1.46783
2018-07-28,1.46127,1.48139,1.49273,1.44362
2018-07-29,1.44513,1.46127,1.46325,1.41623
2018-07-30,1.37367,1.44513,1.44871,1.33393
2018-07-31,1.29002,1.37367,1.48729,1.25464
2018-08-01,1.26333,1.29002,1.29434,1.23682
2018-08-02,1.16243,1.26333,1.29885,1.14901
2018-08-03,1.18653,1.16243,1.2275,1.10198
2018-08-04,1.13549,1.1871,1.22986,1.11455
2018-08-05,1.16139,1.13604,1.16836,1.1287
2018-08-06,1.13954,1.16139,1.1857,1.12139
2018-08-07,1.10771,1.13954,1.21289,1.10192
2018-08-08,1.01816,1.10771,1.11015,1.00278
2018-08-09,1.06549,1.01816,1.07903,1.01693
2018-08-10,0.98313,1.06549,1.07435,0.97125
2018-08-11,0.95295,0.9834,0.9862,0.92844
2018-08-12,0.95761,0.95264,0.97765,0.94238
2018-08-13,0.87027,0.95761,0.99481,0.86078
2018-08-14,0.83906,0.87027,0.87027,0.78111
2018-08-15,0.85497,0.83906,0.90426,0.83906
2018-08-16,0.86135,0.85497,0.87205,0.82392
2018-08-17,0.98433,0.86135,0.98923,0.8588
2018-08-18,0.89477,0.98352,1.02371,0.87276
2018-08-19,0.92948,0.89911,0.94563,0.88523
2018-08-20,0.84121,0.92948,0.93937,0.83712
2018-08-21,0.85588,0.84121,0.89176,0.84121
2018-08-22,0.84745,0.85588,0.92015,0.8419
2018-08-23,0.87506,0.84745,0.87888,0.84495
2018-08-24,0.88648,0.87506,0.89056,0.8591
2018-08-25,0.90294,0.88648,0.91221,0.87981
2018-08-26,0.89065,0.90191,0.93773,0.8637
2018-08-27,0.9511,0.89065,0.9531,0.88835
2018-08-28,1.00464,0.9511,1.02515,0.94178
2018-08-29,0.97104,1.00464,1.00894,0.93872
2018-08-30,0.91998,0.97104,0.97104,0.8903
2018-08-31,0.94407,0.91998,0.96053,0.90616
2018-09-01,0.99213,0.94407,1.02912,0.94323
2018-09-02,1.00658,0.99213,1.03553,0.96731
2018-09-03,0.98733,1.00658,1.00935,0.95566
2018-09-04,1.02282,0.98733,1.05265,0.98187
2018-09-05,0.84195,1.02282,1.0335,0.83978
