TIMESTAMP,SCIVIVE_OPEN_PRICE_USD,SCIVIVE_HIGH_PRICE_USD,SCIVIVE_LOW_PRICE_USD,SCIVIVE_CLOSE_PRICE_USD,SCIVIVE_VOLUME_USD,SCIVIVE_DIVIDENDS_USD,SCIVIVE_STOCK_SPLITS_USD
2023-06-04 00:00:00+00:00,,,,0.0,7371,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,8698,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,10732,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,4545,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,4378,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,749,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,2746,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,2106,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,733,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,3197,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,3165,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,3601,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,1805,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,217,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,161,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,3510,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,291,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,319,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,2923,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,953,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,4456,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,2249,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,1307,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,293,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,1668,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,912,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,749,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,317,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,1618,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,1517,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,242,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,937,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,796,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,723,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,143,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,430,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,202,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,2066,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,1064,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,874,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,763,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,3129,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,178,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,465,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,408,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,4,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,3810,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,138,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,146,0.0,0.0
2023-07-23 00:00:00+00:00,,,,0.0,850,0.0,0.0
2023-07-24 00:00:00+00:00,,,,0.0,652,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,147,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,458,0.0,0.0
