TIMESTAMP,SER_OPEN_PRICE_USD,SER_HIGH_PRICE_USD,SER_LOW_PRICE_USD,SER_CLOSE_PRICE_USD,SER_VOLUME_USD,SER_DIVIDENDS_USD,SER_STOCK_SPLITS_USD
2021-11-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,32134,0.0,0.0
2021-11-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,7633,0.0,0.0
2021-11-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,24299,0.0,0.0
2021-11-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6890,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,3772,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,7951,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,7821,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,10215,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,237,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,7788,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,108,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,121,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,6137,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,145,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,855,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,2896,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,250,0.0,0.0
2022-05-02 00:00:00+00:00,0.7814779877662659,1.2448480129241943,0.7814779877662659,0.9220589995384216,292165,0.0,0.0
2022-05-03 00:00:00+00:00,0.9220550060272217,0.9990620017051697,0.10020700097084045,0.29631298780441284,384059,0.0,0.0
2022-05-04 00:00:00+00:00,0.2963060140609741,0.3000220060348511,0.16120199859142303,0.22540900111198425,99505,0.0,0.0
2022-05-05 00:00:00+00:00,0.22540900111198425,0.3088169991970062,0.20000000298023224,0.2537969946861267,42323,0.0,0.0
2022-05-06 00:00:00+00:00,0.2537980079650879,0.25382199883461,0.18519200384616852,0.23789599537849426,15478,0.0,0.0
2022-05-07 00:00:00+00:00,0.2378930002450943,0.26507800817489624,0.19167999923229218,0.19768400490283966,82622,0.0,0.0
2022-05-08 00:00:00+00:00,0.19768400490283966,0.21295900642871857,0.17006699740886688,0.18667300045490265,128939,0.0,0.0
2022-05-09 00:00:00+00:00,0.1866759955883026,0.2010750025510788,0.15878599882125854,0.17718400061130524,150563,0.0,0.0
2022-05-10 00:00:00+00:00,0.17719000577926636,0.21528999507427216,0.155690997838974,0.17326399683952332,142020,0.0,0.0
2022-05-11 00:00:00+00:00,0.17326399683952332,0.18479099869728088,0.1298920065164566,0.13235099613666534,144502,0.0,0.0
2022-05-12 00:00:00+00:00,0.13235199451446533,0.13244499266147614,0.08970999717712402,0.1133280023932457,167147,0.0,0.0
2022-05-13 00:00:00+00:00,0.11331900209188461,0.16783100366592407,0.09645900130271912,0.12627699971199036,144359,0.0,0.0
2022-05-14 00:00:00+00:00,0.12627799808979034,0.13816200196743011,0.10991799831390381,0.11985400319099426,148695,0.0,0.0
2022-05-15 00:00:00+00:00,0.11985400319099426,0.15051500499248505,0.11513999849557877,0.14216700196266174,140255,0.0,0.0
2022-05-16 00:00:00+00:00,0.1421699970960617,0.14843100309371948,0.09987899661064148,0.1193540021777153,149649,0.0,0.0
2022-05-17 00:00:00+00:00,0.11935299634933472,0.12686200439929962,0.10170099884271622,0.10818199813365936,151135,0.0,0.0
2022-05-18 00:00:00+00:00,0.10818099975585938,0.11495999991893768,0.09427600353956223,0.10237699747085571,150431,0.0,0.0
2022-05-19 00:00:00+00:00,0.10237599909305573,0.12124399840831757,0.10100399702787399,0.10199499875307083,150112,0.0,0.0
2022-05-20 00:00:00+00:00,0.10199300199747086,0.10791300237178802,0.10107800364494324,0.10158000141382217,125025,0.0,0.0
2022-05-21 00:00:00+00:00,0.10158699750900269,0.10826899856328964,0.1014769971370697,0.10447400063276291,149868,0.0,0.0
2022-05-22 00:00:00+00:00,0.10447300225496292,0.1147959977388382,0.10387499630451202,0.10510200262069702,143462,0.0,0.0
2022-05-23 00:00:00+00:00,0.10510200262069702,0.11421500146389008,0.10430900007486343,0.10500399768352509,150799,0.0,0.0
2022-05-24 00:00:00+00:00,0.10499999672174454,0.10910700261592865,0.10399000346660614,0.10890299826860428,145299,0.0,0.0
2022-05-25 00:00:00+00:00,0.1089010015130043,0.11119700223207474,0.10558199882507324,0.1076899990439415,149576,0.0,0.0
2022-05-26 00:00:00+00:00,0.10768900066614151,0.11130300164222717,0.10399899631738663,0.11017899960279465,150300,0.0,0.0
