TIMESTAMP,BABYPEIPEI33074_OPEN_PRICE_USD,BABYPEIPEI33074_HIGH_PRICE_USD,BABYPEIPEI33074_LOW_PRICE_USD,BABYPEIPEI33074_CLOSE_PRICE_USD,BABYPEIPEI33074_VOLUME_USD,BABYPEIPEI33074_DIVIDENDS_USD,BABYPEIPEI33074_STOCK_SPLITS_USD
2024-09-19 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,108358,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,29833,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,5760,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,3947,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,13268,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,2842,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,6263,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,4317,0.0,0.0
2024-09-27 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,14131,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,15483,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,9377,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,5102,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,1089,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,1136,0.0,0.0
2024-10-03 00:00:00+00:00,,,,0.0,13804,0.0,0.0
2024-10-04 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,23202,0.0,0.0
2024-10-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,10690,0.0,0.0
2024-10-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,12567,0.0,0.0
2024-10-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23782,0.0,0.0
2024-10-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6859,0.0,0.0
2024-10-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,12175,0.0,0.0
2024-10-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,8464,0.0,0.0
2024-10-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,8942,0.0,0.0
2024-10-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6362,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,4071,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,7390,0.0,0.0
2024-10-15 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,9470,0.0,0.0
2024-10-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,30337,0.0,0.0
2024-10-17 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,257895,0.0,0.0
2024-10-18 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,57439,0.0,0.0
