,K,Alpha,Tau,MSE
0,14,1500,0.3,0.008640033260490497
1,15,1500,0.3,0.00864003343714425
2,6,250,0.3,0.008640127641258015
3,15,1250,0.3,0.008640133086179159
4,14,1250,0.3,0.008640134851759523
5,15,1250,0.25,0.00864025096038461
6,14,1250,0.25,0.008640252588597455
7,6,250,0.25,0.008640254025594726
8,15,1000,0.3,0.008640299463549156
9,14,1000,0.3,0.008640304449792196
10,13,1000,0.3,0.008640422746820593
11,15,1250,0.2,0.00864047359296282
12,15,1000,0.25,0.00864047586756364
13,14,1000,0.25,0.008640481795307834
14,6,250,0.2,0.008640493546601027
15,14,1250,0.2,0.008640511826078135
16,7,250,0.3,0.00864076973883482
17,15,1000,0.2,0.008640802910740878
18,14,1000,0.2,0.008640811844284746
19,15,750,0.3,0.008641018479605016
20,14,750,0.3,0.008641118633901365
21,7,250,0.25,0.008641142768571952
22,13,750,0.3,0.008641187119346657
23,14,1500,0.25,0.008641212991281016
24,15,1000,0.15,0.008641373675252867
25,15,750,0.25,0.008641411006190827
26,11,750,0.3,0.008641416994199057
27,14,1000,0.15,0.008641437132978793
28,14,750,0.25,0.00864152675927088
29,13,750,0.25,0.008641601826568472
30,15,1500,0.25,0.008641646134835812
31,7,250,0.2,0.008641809933149997
32,15,750,0.2,0.008642087834117664
33,11,750,0.25,0.008642155390686987
34,14,750,0.2,0.008642224639105248
35,13,750,0.2,0.008642301380619314
36,7,250,0.15,0.008643415242704344
37,15,750,0.15,0.008643476802528718
38,14,750,0.15,0.008643663329675554
39,15,750,0.1,0.008647964043796112
40,14,750,0.1,0.008648230034966009
41,10,250,0.3,0.008652250541719437
42,9,250,0.3,0.008652419465184528
43,11,750,0.2,0.008653378279958776
44,11,250,0.3,0.008653949190778177
45,12,250,0.3,0.008654432963178691
46,14,1000,0.1,0.008655338883697657
47,14,1250,0.15,0.008655591840163542
48,15,1250,0.15,0.00865609403002701
49,10,250,0.25,0.008657573413615649
50,10,500,0.3,0.008657608988407856
51,9,250,0.25,0.008658365830976079
52,6,250,0.15,0.008659484609404045
53,11,250,0.25,0.008660105647887184
54,12,250,0.25,0.008660878859270136
55,8,250,0.3,0.008661796764501644
56,15,1750,0.3,0.008666607183164981
57,10,500,0.25,0.008666726658418502
58,10,250,0.2,0.00866736144861352
59,8,250,0.25,0.008670323936120794
60,11,250,0.2,0.008671485176006018
61,14,1750,0.3,0.008672369413345695
62,9,250,0.2,0.008672393933798213
63,12,250,0.2,0.008672842112075533
64,13,1000,0.25,0.008674053912007165
65,8,250,0.2,0.008685511568748753
66,12,750,0.15,0.008686405555335645
67,10,250,0.15,0.008688643776108989
68,11,250,0.15,0.008696333991851426
69,12,250,0.15,0.00869908189431814
70,15,1000,0.1,0.008707612378566619
71,12,1000,0.3,0.00871374552073319
72,14,500,0.3,0.00871667723907194
73,12,750,0.2,0.008717341199569996
74,8,250,0.15,0.008717468812369095
75,13,250,0.3,0.008719181134152295
76,13,750,0.15,0.008720464057333975
77,14,750,0.05,0.00872586542693807
78,14,500,0.25,0.008738771262604503
79,14,250,0.3,0.008741170552262336
80,15,750,0.05,0.008753658926670451
81,13,250,0.25,0.008756482317624284
82,9,250,0.15,0.008756728987879573
83,10,250,0.1,0.008757698762295025
84,12,750,0.25,0.008761744091112486
85,11,250,0.1,0.00876910958354716
86,14,500,0.2,0.008774199747199682
87,12,500,0.3,0.008774867319404031
88,13,1250,0.3,0.008774941625469924
89,12,250,0.1,0.008776289747874639
90,13,1000,0.15,0.008780961151234466
91,11,500,0.3,0.008784351873710098
92,13,500,0.3,0.00878624996873083
93,11,500,0.1,0.008788978597512133
94,14,250,0.25,0.00878914388982851
95,8,250,0.1,0.008822530001459382
96,13,500,0.25,0.008825369215462222
97,11,500,0.25,0.008825489751660979
98,13,250,0.2,0.008827569634526578
99,13,1000,0.2,0.008831077428565
100,14,500,0.15,0.008841161478369717
101,12,500,0.25,0.008855791432268808
102,11,500,0.15,0.008859698350615335
103,15,250,0.3,0.008865124320317783
104,11,500,0.2,0.00886871636029954
105,14,1500,0.2,0.008879977229363812
106,14,250,0.2,0.008880869990401344
107,13,500,0.2,0.008885369315620048
108,15,250,0.25,0.008957425740042173
109,13,250,0.15,0.008988905050799086
110,13,500,0.15,0.008990542938106303
111,12,1000,0.25,0.00901417934274115
112,14,500,0.1,0.009038863629222934
113,14,250,0.15,0.009089514182933606
114,12,750,0.3,0.00910820545343063
115,15,500,0.15,0.009119713623590217
116,15,250,0.2,0.009126257917311052
117,10,250,0.05,0.00914462698838731
