TIMESTAMP,XDOGE_OPEN_PRICE_USD,XDOGE_HIGH_PRICE_USD,XDOGE_LOW_PRICE_USD,XDOGE_CLOSE_PRICE_USD,XDOGE_VOLUME_USD,XDOGE_DIVIDENDS_USD,XDOGE_STOCK_SPLITS_USD
2021-11-02 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.099999958067201e-05,2805714,0.0,0.0
2021-11-03 00:00:00+00:00,3.099999958067201e-05,3.5000000934815034e-05,2.9000000722589903e-05,3.400000059627928e-05,1460672,0.0,0.0
2021-11-04 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,2.5999999706982635e-05,2.9000000722589903e-05,1584614,0.0,0.0
2021-11-05 00:00:00+00:00,2.9000000722589903e-05,3.400000059627928e-05,2.700000004551839e-05,2.700000004551839e-05,2428773,0.0,0.0
2021-11-06 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.300000051036477e-05,2.499999936844688e-05,2317500,0.0,0.0
2021-11-07 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.2000000171829015e-05,2.2000000171829015e-05,1142867,0.0,0.0
2021-11-08 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,800999,0.0,0.0
2021-11-09 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,845022,0.0,0.0
2021-11-10 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,825632,0.0,0.0
2021-11-11 00:00:00+00:00,2.300000051036477e-05,2.8000000384054147e-05,2.300000051036477e-05,2.700000004551839e-05,1067560,0.0,0.0
2021-11-12 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.5999999706982635e-05,3.099999958067201e-05,1243277,0.0,0.0
2021-11-13 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.5999999706982635e-05,2.8000000384054147e-05,920871,0.0,0.0
2021-11-14 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.9000000722589903e-05,760729,0.0,0.0
2021-11-15 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.300000051036477e-05,2.300000051036477e-05,693590,0.0,0.0
2021-11-16 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.2000000171829015e-05,426780,0.0,0.0
2021-11-17 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,270241,0.0,0.0
2021-11-18 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.9999999494757503e-05,1.9999999494757503e-05,232303,0.0,0.0
2021-11-19 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,283059,0.0,0.0
2021-11-20 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,393543,0.0,0.0
2021-11-21 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,386575,0.0,0.0
2021-11-22 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,218150,0.0,0.0
2021-11-23 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,160455,0.0,0.0
2021-11-24 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,122046,0.0,0.0
2021-11-25 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.8000000636675395e-05,108289,0.0,0.0
2021-11-26 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,169573,0.0,0.0
2021-11-27 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,206816,0.0,0.0
2021-11-28 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,100823,0.0,0.0
2021-11-29 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,105044,0.0,0.0
2021-11-30 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,143032,0.0,0.0
2021-12-01 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,183727,0.0,0.0
2021-12-02 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,169262,0.0,0.0
2021-12-03 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,142349,0.0,0.0
2021-12-04 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.5999999959603883e-05,231229,0.0,0.0
2021-12-05 00:00:00+00:00,1.5999999959603883e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.5999999959603883e-05,435049,0.0,0.0
2021-12-06 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.4000000192027073e-05,1.700000029813964e-05,601747,0.0,0.0
2021-12-07 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.9999999494757503e-05,792472,0.0,0.0
2021-12-08 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8999999156221747e-05,1.9999999494757503e-05,904874,0.0,0.0
2021-12-09 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,536196,0.0,0.0
2021-12-10 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,377859,0.0,0.0
2021-12-11 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,348331,0.0,0.0
