,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.024136499604739785,0.15535925979721898,0.12892308998577195,0.07091628193569163,4070676.191445234,2017.5916810507606,1674.2752369791672,0.04649100531905401,0.25859288414689097
1,0.010553523072228064,0.10273034153660769,0.08554573933764033,0.05210358049489193,1860370.3779596856,1363.9539500876433,1135.7934248991933,0.03272303132337013,0.8055270580564581
Mean,0.017345011338483925,0.12904480066691335,0.10723441466170613,0.06150993121529178,2965523.28470246,1690.772815569202,1405.03433093918,0.039607018321212065,0.5320599711016745
