TIMESTAMP,CATS_OPEN_PRICE_USD,CATS_HIGH_PRICE_USD,CATS_LOW_PRICE_USD,CATS_CLOSE_PRICE_USD,CATS_VOLUME_USD,CATS_DIVIDENDS_USD,CATS_STOCK_SPLITS_USD
2022-01-15 00:00:00+00:00,,,,0.0,1769289,0.0,0.0
2022-01-16 00:00:00+00:00,,,,0.0,2015580,0.0,0.0
2022-01-17 00:00:00+00:00,,,,0.0,311005,0.0,0.0
2022-01-18 00:00:00+00:00,,,,0.0,98632,0.0,0.0
2022-01-19 00:00:00+00:00,,,,0.0,25712,0.0,0.0
2022-01-20 00:00:00+00:00,,,,0.0,18621,0.0,0.0
2022-01-21 00:00:00+00:00,,,,0.0,19414,0.0,0.0
2022-01-22 00:00:00+00:00,,,,0.0,16140,0.0,0.0
2022-01-23 00:00:00+00:00,,,,0.0,8138,0.0,0.0
2022-01-24 00:00:00+00:00,,,,0.0,3927,0.0,0.0
2022-01-25 00:00:00+00:00,,,,0.0,3904,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,10106,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,16890,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,11129,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,13101,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,11379,0.0,0.0
2022-01-31 00:00:00+00:00,,,,0.0,6717,0.0,0.0
2022-02-01 00:00:00+00:00,,,,0.0,10634,0.0,0.0
2022-02-02 00:00:00+00:00,,,,0.0,9510,0.0,0.0
2022-02-03 00:00:00+00:00,,,,0.0,6051,0.0,0.0
2022-02-04 00:00:00+00:00,,,,0.0,2531,0.0,0.0
2022-02-05 00:00:00+00:00,,,,0.0,38748,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,59094,0.0,0.0
2022-02-07 00:00:00+00:00,,,,0.0,29818,0.0,0.0
2022-02-08 00:00:00+00:00,,,,0.0,14078,0.0,0.0
2022-02-09 00:00:00+00:00,,,,0.0,292660,0.0,0.0
2022-02-10 00:00:00+00:00,,,,0.0,660609,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,429156,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,119472,0.0,0.0
