,K,Alpha,Tau,MSE
0,6,250,0.3,84.01528770638667
1,6,250,0.25,84.01583583021244
2,6,250,0.2,84.01672831007855
3,10,500,0.3,84.03160088690176
4,7,250,0.3,84.03383820021811
5,8,250,0.3,84.03813663556916
6,12,500,0.3,84.03832996932378
7,10,500,0.25,84.03896109305731
8,7,250,0.25,84.04251033561209
9,9,250,0.3,84.04300665796805
10,11,500,0.3,84.04629353398553
11,12,500,0.25,84.04770078553489
12,8,250,0.25,84.04819374096094
13,9,500,0.3,84.05010294370925
14,10,500,0.2,84.05116079004505
15,9,250,0.25,84.05502191941758
16,11,500,0.25,84.05712712417359
17,7,250,0.2,84.0585238715675
18,11,500,0.2,84.06055028076435
19,12,500,0.2,84.06440259727964
20,9,500,0.25,84.0645592459615
21,8,250,0.2,84.06659450053867
22,9,250,0.2,84.07719663522516
23,10,500,0.15,84.0872910649776
24,11,500,0.15,84.09217599485011
25,7,250,0.15,84.09394830133459
26,9,500,0.2,84.09543728200323
27,12,500,0.15,84.1013840875766
28,8,250,0.15,84.10644395309708
29,9,250,0.15,84.12570081538388
30,6,250,0.15,84.14618754529978
31,7,250,0.1,84.18921294792739
32,11,500,0.1,84.19309132631713
33,8,250,0.1,84.22405184215604
34,12,500,0.1,84.26666412812217
35,9,250,0.1,84.26933984652979
36,11,750,0.3,84.3220866007576
37,15,1000,0.3,84.62707266566018
38,15,1000,0.25,84.9213740978252
39,8,250,0.05,84.96994042729911
40,13,250,0.3,85.10625020273991
41,9,250,0.05,85.17222073656325
42,13,750,0.3,85.25422347158305
43,7,250,0.05,85.42193173422113
44,13,250,0.25,85.5231680709182
45,13,750,0.25,85.77363398565592
46,14,750,0.3,85.81311820070022
47,15,750,0.3,85.92982006767916
48,15,1000,0.2,85.95249742600723
49,10,500,0.1,86.02714241957179
50,14,500,0.3,86.09704051987595
51,13,250,0.2,86.26944942095182
52,13,500,0.3,86.35510034308567
53,12,250,0.3,86.58662523181249
54,14,750,0.25,86.62785661114953
55,13,500,0.25,86.67117755176064
56,15,750,0.25,86.81147331949046
57,13,1000,0.3,86.910057943959
58,14,500,0.25,87.20023284508429
59,13,500,0.2,87.31742482762053
60,12,250,0.25,87.60836752214136
61,12,750,0.3,87.70946829090134
62,13,250,0.15,87.88019486205039
63,14,750,0.2,88.15855306511199
64,13,750,0.2,88.20538112566597
65,15,750,0.2,88.92778010217062
66,15,750,0.15,88.95187149881856
67,10,250,0.3,88.96164724934519
68,9,500,0.15,89.26645613578515
69,12,250,0.2,89.37056511975504
70,15,500,0.3,89.43444340334406
71,14,500,0.2,89.48163075292308
72,15,250,0.3,90.81813391372165
73,10,250,0.25,91.03680963796447
74,13,500,0.15,91.19802397263116
75,14,750,0.15,91.5818415202014
76,12,500,0.05,92.24455719038859
77,15,250,0.25,92.67216435061175
78,12,250,0.15,92.8365104278009
79,13,250,0.1,92.87585390648309
80,15,500,0.25,93.17786959836056
