,K,Alpha,Tau,MSE
0,6,250,0.15,84.00378104175815
1,6,250,0.3,84.01551843646307
2,6,250,0.25,84.01613936785446
3,6,250,0.2,84.01706962138717
4,12,750,0.3,84.03026375011493
5,12,750,0.25,84.03338205702445
6,7,250,0.3,84.0382116049572
7,10,500,0.3,84.03961684698068
8,8,250,0.3,84.04148363919346
9,9,250,0.3,84.0458858967279
10,7,250,0.25,84.04880696689845
11,10,500,0.25,84.04991761875328
12,12,500,0.3,84.05291386029221
13,8,250,0.25,84.05302237236464
14,9,500,0.3,84.05447319987304
15,11,500,0.3,84.05763739236055
16,12,750,0.2,84.05927047561298
17,9,250,0.25,84.05946608556906
18,12,500,0.25,84.06697597523991
19,7,250,0.2,84.0685433780651
20,10,500,0.2,84.06941769236747
21,9,500,0.25,84.07103391936741
22,11,500,0.25,84.07182558829635
23,8,250,0.2,84.07423031995863
24,9,250,0.2,84.08451916197887
25,12,500,0.2,84.09221625728263
26,9,500,0.2,84.0985511692206
27,11,500,0.2,84.09917172008728
28,7,250,0.15,84.11262195645463
29,8,250,0.15,84.12126995730347
30,9,250,0.15,84.13942011510838
31,12,500,0.15,84.14310278017656
32,11,500,0.15,84.14666964487893
33,10,500,0.15,84.1598027045937
34,9,500,0.15,84.21134186232396
35,7,250,0.1,84.22210749414864
36,8,250,0.1,84.27160185510233
37,9,250,0.1,84.30325228874122
38,12,500,0.1,84.34104775391042
39,10,750,0.3,84.38229248436265
40,11,500,0.1,84.48964319894009
41,8,250,0.05,85.17375407888115
42,9,250,0.05,85.35061728363135
43,14,500,0.3,85.49245068566091
44,14,750,0.3,85.61118042223627
45,15,750,0.3,85.71280936626368
46,14,750,0.25,85.79233112660363
47,7,250,0.05,85.80882275070009
48,13,250,0.3,85.84836965010285
49,14,500,0.25,86.1864275411768
50,15,500,0.3,86.24024480884249
51,15,750,0.25,86.54316875041602
52,13,250,0.25,86.5632953721183
53,11,750,0.3,86.69013191552777
54,12,1000,0.3,86.71938302226756
55,12,250,0.3,87.10059286263031
56,14,750,0.2,87.22267589712285
57,11,500,0.05,87.3320354059302
58,15,500,0.25,87.49392136344322
59,14,500,0.2,87.53928358430416
60,13,250,0.2,87.83428348075621
61,13,750,0.2,87.87585424583526
62,15,750,0.2,88.03926319827077
63,14,1000,0.3,88.15541682673245
64,10,500,0.1,88.27867567000989
65,12,250,0.25,88.45118084355077
66,13,1000,0.3,88.49394733178701
67,10,250,0.3,88.93432772703675
68,13,500,0.3,88.94865314379574
69,13,500,0.25,89.15431612841921
70,13,500,0.2,89.28481471143226
71,15,500,0.2,90.25053299588268
72,15,750,0.15,90.33095567097992
73,13,250,0.15,90.52779278249956
74,13,500,0.15,90.58559174761463
75,15,1000,0.3,90.66946217890536
76,14,500,0.15,90.74467240480723
77,12,250,0.2,90.91656945635371
78,10,250,0.25,91.21464820585967
79,13,750,0.25,92.0828647357077
80,10,250,0.2,95.4084447069655
81,15,1000,0.25,95.63163560284156
82,12,250,0.15,96.11593210934173
83,14,250,0.3,96.89490661372164
84,13,500,0.1,97.8329589761599
85,15,500,0.15,98.4793290732553
86,13,250,0.1,98.56415207135477
87,15,1250,0.3,99.9910441180986
88,13,750,0.3,100.5137149192249
89,14,1000,0.2,101.60189772472201
90,14,500,0.1,101.67658251113102
91,10,250,0.15,104.26399363405733
92,15,250,0.3,104.28827651195938
93,14,250,0.25,105.44283556527246
94,15,750,0.1,105.97486321874895
95,15,250,0.25,108.98014997228834
96,12,250,0.1,110.3153206844552
97,15,1250,0.25,112.57398821823168
98,15,250,0.2,114.63242188676121
99,15,1000,0.2,115.30343369544927
100,14,250,0.2,120.16783664507896
101,15,250,0.15,123.41038412319148
102,14,750,0.1,124.84219996919586
103,10,250,0.1,127.56508158325835
104,13,750,0.1,127.8431664593141
105,13,750,0.15,129.60917240454154
106,11,250,0.3,134.0585139042777
107,12,500,0.05,138.13236769958885
108,11,250,0.25,141.35635961141745
109,14,250,0.15,141.3631104589356
110,15,250,0.1,143.75444655675523
111,15,500,0.1,146.07066554462267
112,13,250,0.05,147.04167697529925
113,11,250,0.2,148.61597937397104
114,13,500,0.05,157.15603874111306
115,11,250,0.15,158.25213716803805
116,13,1000,0.25,158.76161242104902
117,12,750,0.15,161.07622411217912
118,10,750,0.25,164.51151821485854
