TIMESTAMP,VITY_OPEN_PRICE_USD,VITY_HIGH_PRICE_USD,VITY_LOW_PRICE_USD,VITY_CLOSE_PRICE_USD,VITY_VOLUME_USD,VITY_DIVIDENDS_USD,VITY_STOCK_SPLITS_USD
2022-07-14 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,0,0.0,0.0
2022-08-01 00:00:00+00:00,,,,0.0,2208,0.0,0.0
2022-08-02 00:00:00+00:00,,,,0.0,844,0.0,0.0
2022-08-03 00:00:00+00:00,,,,0.0,561,0.0,0.0
2022-08-04 00:00:00+00:00,,,,0.0,886,0.0,0.0
2022-08-05 00:00:00+00:00,,,,0.0,434,0.0,0.0
2022-08-06 00:00:00+00:00,,,,0.0,204,0.0,0.0
2022-08-07 00:00:00+00:00,,,,0.0,1035,0.0,0.0
2022-08-08 00:00:00+00:00,,,,0.0,806,0.0,0.0
2022-08-09 00:00:00+00:00,,,,0.0,2910,0.0,0.0
2022-08-10 00:00:00+00:00,,,,0.0,2583,0.0,0.0
2022-08-11 00:00:00+00:00,,,,0.0,508,0.0,0.0
2022-08-12 00:00:00+00:00,,,,0.0,630,0.0,0.0
2022-08-13 00:00:00+00:00,,,,0.0,853,0.0,0.0
2022-08-14 00:00:00+00:00,,,,0.0,340,0.0,0.0
2022-08-15 00:00:00+00:00,,,,0.0,794,0.0,0.0
2022-08-16 00:00:00+00:00,,,,0.0,343,0.0,0.0
2022-08-17 00:00:00+00:00,,,,0.0,1132,0.0,0.0
2022-08-18 00:00:00+00:00,,,,0.0,928,0.0,0.0
2022-08-19 00:00:00+00:00,,,,0.0,2382,0.0,0.0
2022-08-20 00:00:00+00:00,,,,0.0,708,0.0,0.0
2022-08-21 00:00:00+00:00,,,,0.0,598,0.0,0.0
2022-08-22 00:00:00+00:00,,,,0.0,658,0.0,0.0
2022-08-23 00:00:00+00:00,,,,0.0,3351,0.0,0.0
2022-08-24 00:00:00+00:00,,,,0.0,1154,0.0,0.0
2022-08-25 00:00:00+00:00,,,,0.0,1289,0.0,0.0
2022-08-26 00:00:00+00:00,,,,0.0,4167,0.0,0.0
2022-08-27 00:00:00+00:00,,,,0.0,1652,0.0,0.0
2022-08-28 00:00:00+00:00,,,,0.0,521,0.0,0.0
2022-08-29 00:00:00+00:00,,,,0.0,905,0.0,0.0
2022-08-30 00:00:00+00:00,,,,0.0,647,0.0,0.0
2022-08-31 00:00:00+00:00,,,,0.0,672,0.0,0.0
2022-09-01 00:00:00+00:00,,,,0.0,719,0.0,0.0
2022-09-02 00:00:00+00:00,,,,0.0,780,0.0,0.0
2022-09-03 00:00:00+00:00,,,,0.0,2516,0.0,0.0
2022-09-04 00:00:00+00:00,,,,0.0,9820,0.0,0.0
2022-09-05 00:00:00+00:00,,,,0.0,625,0.0,0.0
2022-09-06 00:00:00+00:00,,,,0.0,355,0.0,0.0
2022-09-07 00:00:00+00:00,,,,0.0,519,0.0,0.0
2022-09-08 00:00:00+00:00,,,,0.0,2749,0.0,0.0
2022-09-09 00:00:00+00:00,,,,0.0,1871,0.0,0.0
2022-09-10 00:00:00+00:00,,,,0.0,713,0.0,0.0
2022-09-11 00:00:00+00:00,,,,0.0,375,0.0,0.0
2022-09-12 00:00:00+00:00,,,,0.0,6729,0.0,0.0
2022-09-13 00:00:00+00:00,,,,0.0,1916,0.0,0.0
2022-09-14 00:00:00+00:00,,,,0.0,512,0.0,0.0
2022-09-15 00:00:00+00:00,,,,0.0,298,0.0,0.0
2022-09-16 00:00:00+00:00,,,,0.0,3693,0.0,0.0
2022-09-17 00:00:00+00:00,,,,0.0,519,0.0,0.0
2022-09-18 00:00:00+00:00,,,,0.0,8725,0.0,0.0
2022-09-19 00:00:00+00:00,,,,0.0,54429,0.0,0.0
2022-09-20 00:00:00+00:00,,,,0.0,14806,0.0,0.0
2022-09-21 00:00:00+00:00,,,,0.0,8189,0.0,0.0
2022-09-22 00:00:00+00:00,,,,0.0,4497,0.0,0.0
2022-09-23 00:00:00+00:00,,,,0.0,1345,0.0,0.0
2022-09-24 00:00:00+00:00,,,,0.0,1368,0.0,0.0
2022-09-25 00:00:00+00:00,,,,0.0,4337,0.0,0.0
2022-09-26 00:00:00+00:00,,,,0.0,2068,0.0,0.0
