TIMESTAMP,SAFEMOONCASH_OPEN_PRICE_USD,SAFEMOONCASH_HIGH_PRICE_USD,SAFEMOONCASH_LOW_PRICE_USD,SAFEMOONCASH_CLOSE_PRICE_USD,SAFEMOONCASH_VOLUME_USD,SAFEMOONCASH_DIVIDENDS_USD,SAFEMOONCASH_STOCK_SPLITS_USD
2021-05-27 00:00:00+00:00,,,,0.0,1780804,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,3316696,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,3454963,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,2491630,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,1529119,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,1130867,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,1048336,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,1549859,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,1892194,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,1144409,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,1888335,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,1123319,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,1039175,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,824324,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,549343,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,541430,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,485422,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,462273,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,287475,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,667303,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,1204915,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,1140866,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,920917,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,1052588,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,1322789,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,1305373,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,1525290,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,1403541,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,651880,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,788516,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,466382,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,446804,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,1020695,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,1175465,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,1025646,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,1070124,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,600010,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,1131343,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,1336410,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,848699,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,702093,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,511327,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,347455,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,315908,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,332693,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,546658,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,1211382,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,1375563,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,718176,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,272577,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,238052,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,210708,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,96313,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,79720,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,110687,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,144703,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,80946,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,49443,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,57966,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,74424,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,62781,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,42679,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,53345,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,55602,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,82109,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,116104,0.0,0.0
2021-08-01 00:00:00+00:00,,,,0.0,71053,0.0,0.0
2021-08-02 00:00:00+00:00,,,,0.0,44753,0.0,0.0
2021-08-03 00:00:00+00:00,,,,0.0,48990,0.0,0.0
2021-08-04 00:00:00+00:00,,,,0.0,52629,0.0,0.0
