TIMESTAMP,SLT35715_OPEN_PRICE_USD,SLT35715_HIGH_PRICE_USD,SLT35715_LOW_PRICE_USD,SLT35715_CLOSE_PRICE_USD,SLT35715_VOLUME_USD,SLT35715_DIVIDENDS_USD,SLT35715_STOCK_SPLITS_USD
2025-03-29 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83240,0.0,0.0
2025-03-30 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83262,0.0,0.0
2025-03-31 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83251,0.0,0.0
2025-04-01 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83270,0.0,0.0
2025-04-02 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83263,0.0,0.0
2025-04-03 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83233,0.0,0.0
2025-04-04 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83240,0.0,0.0
2025-04-05 00:00:00+00:00,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,0.00013699999544769526,83235,0.0,0.0
2025-04-06 00:00:00+00:00,0.00013699999544769526,0.00014400000509340316,0.0001140000022132881,0.00011600000289035961,147128,0.0,0.0
2025-04-07 00:00:00+00:00,0.00011600000289035961,0.0001230000052601099,0.00010399999882793054,0.00011800000356743112,103131,0.0,0.0
2025-04-08 00:00:00+00:00,0.00011800000356743112,0.00012399999832268804,0.0001140000022132881,0.0001230000052601099,98970,0.0,0.0
2025-04-09 00:00:00+00:00,0.0001230000052601099,0.0001250000059371814,0.0001049999991664663,0.00011200000153621659,101249,0.0,0.0
2025-04-10 00:00:00+00:00,0.00011200000153621659,0.00011200000153621659,4.199999966658652e-05,4.999999873689376e-05,5580,0.0,0.0
2025-04-11 00:00:00+00:00,4.999999873689376e-05,5.400000009103678e-05,4.70000013592653e-05,4.999999873689376e-05,5988,0.0,0.0
2025-04-12 00:00:00+00:00,4.999999873689376e-05,5.400000009103678e-05,4.600000102072954e-05,4.70000013592653e-05,3435,0.0,0.0
2025-04-13 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.70000013592653e-05,4.8999998398358e-05,1213,0.0,0.0
