TIMESTAMP,PIAI35781_OPEN_PRICE_USD,PIAI35781_HIGH_PRICE_USD,PIAI35781_LOW_PRICE_USD,PIAI35781_CLOSE_PRICE_USD,PIAI35781_VOLUME_USD,PIAI35781_DIVIDENDS_USD,PIAI35781_STOCK_SPLITS_USD
2025-04-03 00:00:00+00:00,,,,0.0,68,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,298,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,109,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,110,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,482,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,130,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,25,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,258,0.0,0.0
2025-06-01 00:00:00+00:00,1.7167200278521422e-13,1.717760048786099e-13,1.699490022452274e-13,1.7083405003115448e-13,31,0.0,0.0
