TIMESTAMP,TIPS_OPEN_PRICE_USD,TIPS_HIGH_PRICE_USD,TIPS_LOW_PRICE_USD,TIPS_CLOSE_PRICE_USD,TIPS_VOLUME_USD,TIPS_DIVIDENDS_USD,TIPS_STOCK_SPLITS_USD
2017-11-09 00:00:00+00:00,9.999999974752427e-07,3.199999991920777e-05,9.999999974752427e-07,4.999999873689376e-06,728,0.0,0.0
2017-11-10 00:00:00+00:00,4.999999873689376e-06,5.400000009103678e-05,4.999999873689376e-06,5.2999999752501026e-05,816,0.0,0.0
2017-11-11 00:00:00+00:00,5.2999999752501026e-05,6.399999983841553e-05,2.300000051036477e-05,2.300000051036477e-05,1637,0.0,0.0
2017-11-12 00:00:00+00:00,2.300000051036477e-05,5.400000009103678e-05,1.2000000424450263e-05,1.8999999156221747e-05,649,0.0,0.0
2017-11-13 00:00:00+00:00,1.9999999494757503e-05,3.400000059627928e-05,9.000000318337698e-06,9.000000318337698e-06,120,0.0,0.0
2017-11-14 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,9.999999974752427e-07,6.000000212225132e-06,780,0.0,0.0
2017-11-15 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,1.9999999949504854e-06,4.999999873689376e-06,518,0.0,0.0
2017-11-16 00:00:00+00:00,4.999999873689376e-06,3.600000127335079e-05,4.999999873689376e-06,3.300000025774352e-05,534,0.0,0.0
2017-11-17 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,7.000000096013537e-06,9.999999747378752e-06,659,0.0,0.0
2017-11-18 00:00:00+00:00,9.999999747378752e-06,7.100000220816582e-05,9.999999747378752e-06,7.000000186963007e-05,576,0.0,0.0
2017-11-19 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,3.5000000934815034e-05,3.7000001611886546e-05,511,0.0,0.0
2017-11-20 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,9.999999974752427e-07,2.9000000722589903e-05,240,0.0,0.0
2017-11-21 00:00:00+00:00,2.9000000722589903e-05,5.6000000768108293e-05,2.4000000848900527e-05,5.6000000768108293e-05,495,0.0,0.0
2017-11-22 00:00:00+00:00,5.6000000768108293e-05,6.0999998822808266e-05,1.2000000424450263e-05,1.2999999853491317e-05,240,0.0,0.0
2017-11-23 00:00:00+00:00,1.2999999853491317e-05,2.700000004551839e-05,1.2000000424450263e-05,1.700000029813964e-05,392,0.0,0.0
2017-11-24 00:00:00+00:00,1.700000029813964e-05,3.199999991920777e-05,6.000000212225132e-06,1.5999999959603883e-05,767,0.0,0.0
2017-11-25 00:00:00+00:00,1.5999999959603883e-05,1.9999999494757503e-05,3.999999989900971e-06,1.4000000192027073e-05,846,0.0,0.0
