TIMESTAMP,CRV_OPEN_PRICE_USD,CRV_HIGH_PRICE_USD,CRV_LOW_PRICE_USD,CRV_CLOSE_PRICE_USD
2020-08-14,13.52,17.0,10.38,12.21
2020-08-15,12.21,17.02,5.811,7.177
2020-08-16,7.177,7.618,6.016,6.406
2020-08-17,6.406,6.413,4.115,4.389
2020-08-18,4.389,4.441,3.199,3.604
2020-08-19,3.604,5.034,3.321,3.938
2020-08-20,3.938,4.676,3.823,3.89
2020-08-21,3.89,4.066,3.207,3.23
2020-08-22,3.23,3.266,2.729,3.057
2020-08-23,3.057,3.086,2.61,2.7
2020-08-24,2.7,3.075,2.606,2.901
2020-08-25,2.901,3.337,2.681,2.867
2020-08-26,2.867,4.148,2.819,3.562
2020-08-27,3.562,4.344,3.213,3.346
2020-08-28,3.346,3.987,3.344,3.536
2020-08-29,3.536,3.549,3.09,3.108
2020-08-30,3.108,3.75,3.083,3.561
2020-08-31,3.561,4.45,3.431,4.386
2020-09-01,4.386,5.71,4.154,5.345
2020-09-02,5.345,5.369,3.89,4.336
2020-09-03,4.336,4.367,2.799,2.922
2020-09-04,2.922,3.273,2.767,2.865
2020-09-05,2.865,3.08,1.582,1.909
2020-09-06,1.909,2.331,1.522,2.165
2020-09-07,2.165,2.297,1.717,2.1
2020-09-08,2.1,2.125,1.771,1.842
2020-09-09,1.842,2.143,1.78,1.977
2020-09-10,1.977,2.194,1.938,1.962
2020-09-11,1.962,2.013,1.712,1.906
2020-09-12,1.906,2.148,1.817,2.103
2020-09-13,2.103,2.14,1.769,1.909
2020-09-14,1.909,1.98,1.795,1.846
2020-09-15,1.846,1.891,1.345,1.417
2020-09-16,1.417,1.462,1.201,1.282
2020-09-17,1.282,1.434,1.199,1.334
2020-09-18,1.334,1.435,1.225,1.259
2020-09-19,1.259,1.646,1.234,1.483
2020-09-20,1.483,1.632,1.303,1.362
2020-09-21,1.362,1.403,1.075,1.091
2020-09-22,1.091,1.152,1.017,1.079
2020-09-23,1.079,1.13,0.8702,0.8898
2020-09-24,0.8898,1.003,0.878,0.9936
2020-09-25,0.9936,1.045,0.8816,0.9765
2020-09-26,0.9765,1.145,0.9735,1.117
2020-09-27,1.117,1.139,0.9829,1.04
2020-09-28,1.04,1.099,0.9879,1.003
2020-09-29,1.003,1.02,0.9103,0.9524
2020-09-30,0.9524,0.9655,0.9117,0.9496
2020-10-01,0.9496,0.9844,0.8287,0.8656
2020-10-02,0.8656,0.877,0.7305,0.7641
2020-10-03,0.7641,0.81,0.7436,0.7675
2020-10-04,0.7675,0.7694,0.6776,0.698
2020-10-05,0.698,0.7205,0.616,0.6318
2020-10-06,0.6318,0.634,0.4965,0.5079
2020-10-07,0.5079,0.5297,0.4568,0.5255
2020-10-08,0.5255,0.5789,0.4659,0.5595
2020-10-09,0.5595,0.6383,0.5229,0.6247
2020-10-10,0.6247,0.6448,0.5493,0.5595
2020-10-11,0.5595,0.5793,0.5267,0.56
2020-10-12,0.56,0.5987,0.5398,0.5713
2020-10-13,0.5713,0.5735,0.5341,0.547
2020-10-14,0.547,0.5541,0.4788,0.5043
2020-10-15,0.5043,0.5077,0.4803,0.4992
2020-10-16,0.4992,0.514,0.4247,0.4305
2020-10-17,0.4305,0.4516,0.4189,0.4367
2020-10-18,0.4367,0.4747,0.4349,0.456
2020-10-19,0.456,0.4578,0.409,0.4137
2020-10-20,0.4137,0.4172,0.3549,0.3586
2020-10-21,0.3586,0.4034,0.3572,0.3842
2020-10-22,0.3842,0.4301,0.3826,0.4091
2020-10-23,0.4091,0.412,0.3697,0.379
2020-10-24,0.379,0.3824,0.3577,0.3736
2020-10-25,0.3736,0.382,0.3291,0.3384
2020-10-26,0.3384,0.4414,0.3349,0.4057
2020-10-27,0.4057,0.6512,0.3883,0.6469
2020-10-28,0.6469,0.6507,0.4593,0.4949
2020-10-29,0.4949,0.5249,0.4322,0.4481
2020-10-30,0.4481,0.4633,0.3817,0.3965
2020-10-31,0.3965,0.4498,0.3932,0.4176
2020-11-01,0.4176,0.4227,0.3897,0.4016
2020-11-02,0.4016,0.4246,0.357,0.3614
2020-11-03,0.3614,0.3692,0.3428,0.3577
2020-11-04,0.3577,0.376,0.3327,0.3444
2020-11-05,0.3444,0.387,0.3328,0.3636
2020-11-06,0.3636,0.4613,0.3594,0.452
2020-11-07,0.452,0.5565,0.4131,0.4347
2020-11-08,0.4347,0.5061,0.4246,0.4823
2020-11-09,0.4823,0.5063,0.4413,0.4623
2020-11-10,0.4623,0.6051,0.4561,0.5722
2020-11-11,0.5722,0.651,0.5454,0.5539
2020-11-12,0.5539,0.5909,0.523,0.5701
2020-11-13,0.5701,0.6993,0.5619,0.6898
2020-11-14,0.6898,0.742,0.5982,0.7062
2020-11-15,0.7062,0.839,0.7037,0.7769
2020-11-16,0.7769,0.8372,0.6948,0.8209
2020-11-17,0.8209,0.9061,0.803,0.8753
2020-11-18,0.8753,0.8857,0.6908,0.7598
2020-11-19,0.7598,0.8475,0.7159,0.8079
2020-11-20,0.8079,0.9577,0.7982,0.8619
2020-11-21,0.8619,0.8987,0.7976,0.8588
2020-11-22,0.8588,0.8763,0.7028,0.751
2020-11-23,0.751,0.8059,0.7182,0.7442
2020-11-24,0.7442,0.7977,0.6628,0.6882
2020-11-25,0.6882,0.7586,0.6301,0.6432
2020-11-26,0.6432,0.6641,0.4937,0.5945
2020-11-27,0.5945,0.6442,0.5448,0.6404
2020-11-28,0.6404,0.6501,0.5898,0.6096
2020-11-29,0.6096,0.6875,0.595,0.6563
2020-11-30,0.6563,0.7143,0.6556,0.6762
2020-12-01,0.6762,0.7601,0.6337,0.68
2020-12-02,0.68,0.8191,0.6616,0.8018
2020-12-03,0.8018,0.8578,0.7687,0.8294
2020-12-04,0.8294,0.8346,0.6695,0.6851
2020-12-05,0.6851,0.7421,0.6695,0.7415
2020-12-06,0.7415,0.7481,0.6723,0.7031
2020-12-07,0.7031,0.7444,0.6865,0.7086
2020-12-08,0.7086,0.7106,0.5902,0.6087
2020-12-09,0.6087,0.6404,0.5625,0.6334
2020-12-10,0.6334,0.6418,0.5822,0.6
2020-12-11,0.6,0.6029,0.5369,0.5564
2020-12-12,0.5564,0.599,0.5564,0.5921
2020-12-13,0.5921,0.6368,0.5768,0.616
2020-12-14,0.616,0.6415,0.5934,0.638
2020-12-15,0.638,0.6708,0.6242,0.629
2020-12-16,0.629,0.6531,0.5975,0.6511
2020-12-17,0.6511,0.6858,0.6166,0.6552
2020-12-18,0.6552,0.6563,0.6225,0.6456
2020-12-19,0.6456,0.6993,0.639,0.6645
2020-12-20,0.6645,0.6661,0.6079,0.6159
2020-12-21,0.6159,0.6283,0.5428,0.5579
2020-12-22,0.5579,0.5703,0.51,0.5582
2020-12-23,0.5582,0.5681,0.3865,0.4202
2020-12-24,0.4202,0.4807,0.4071,0.4788
2020-12-25,0.4788,0.5324,0.4637,0.4891
2020-12-26,0.4891,0.4923,0.4501,0.4691
2020-12-27,0.4691,0.5134,0.4406,0.4716
2020-12-28,0.4716,0.5229,0.4672,0.4977
2020-12-29,0.4977,0.5116,0.4437,0.4738
2020-12-30,0.4738,0.5924,0.467,0.5824
2020-12-31,0.5824,0.6391,0.5216,0.6278
2021-01-01,0.6278,0.6761,0.6073,0.6225
2021-01-02,0.6225,0.6244,0.5663,0.6141
2021-01-03,0.6141,0.694,0.5873,0.6776
2021-01-04,0.6776,0.7311,0.5864,0.6775
2021-01-05,0.6775,0.7279,0.6266,0.6887
2021-01-06,0.6887,0.7858,0.6707,0.7315
2021-01-07,0.7315,0.7885,0.6854,0.7173
2021-01-08,0.7173,0.733,0.626,0.6935
2021-01-09,0.6935,0.8027,0.671,0.7688
2021-01-10,0.7688,0.8425,0.7017,0.7541
2021-01-11,0.7541,0.7566,0.5349,0.6225
2021-01-12,0.6225,0.671,0.5927,0.6244
2021-01-13,0.6244,0.6915,0.6033,0.687
2021-01-14,0.687,0.7963,0.6615,0.7956
2021-01-15,0.7956,1.198,0.788,1.148
2021-01-16,1.148,1.266,1.045,1.109
2021-01-17,1.109,1.787,1.054,1.692
2021-01-18,1.692,1.784,1.391,1.608
2021-01-19,1.608,1.659,1.313,1.331
2021-01-20,1.331,1.649,1.261,1.631
2021-01-21,1.631,1.924,1.452,1.68
2021-01-22,1.68,2.114,1.438,1.966
2021-01-23,1.966,2.301,1.914,2.143
2021-01-24,2.143,2.353,2.045,2.264
2021-01-25,2.264,2.31,1.971,2.005
2021-01-26,2.005,2.239,1.828,2.147
2021-01-27,2.147,2.149,1.743,1.817
2021-01-28,1.817,2.204,1.754,2.082
2021-01-29,2.082,2.13,1.872,2.045
2021-01-30,2.045,2.62,1.888,2.551
2021-01-31,2.551,2.839,2.29,2.517
2021-02-01,2.517,2.683,2.305,2.544
2021-02-02,2.544,2.758,2.432,2.505
2021-02-03,2.505,2.702,2.41,2.638
2021-02-04,2.638,3.204,2.592,3.033
2021-02-05,3.033,3.364,3.022,3.266
2021-02-06,3.266,3.667,3.043,3.149
2021-02-07,3.149,3.197,2.679,2.987
2021-02-08,2.987,3.232,2.854,3.064
2021-02-09,3.064,3.283,2.942,3.178
2021-02-10,3.178,3.386,2.889,3.09
2021-02-11,3.09,3.57,3.003,3.559
2021-02-12,3.559,3.622,3.275,3.397
