TIMESTAMP,HAND_OPEN_PRICE_USD,HAND_HIGH_PRICE_USD,HAND_LOW_PRICE_USD,HAND_CLOSE_PRICE_USD,HAND_VOLUME_USD,HAND_DIVIDENDS_USD,HAND_STOCK_SPLITS_USD
2018-08-16 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,280564,0.0,0.0
2018-08-17 00:00:00+00:00,1.2999999853491317e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.9999999494757503e-05,350607,0.0,0.0
2018-08-18 00:00:00+00:00,1.9999999494757503e-05,2.499999936844688e-05,1.4000000192027073e-05,1.8000000636675395e-05,403707,0.0,0.0
2018-08-19 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,301657,0.0,0.0
2018-08-20 00:00:00+00:00,1.5999999959603883e-05,3.300000025774352e-05,1.4999999621068127e-05,2.9999999242136255e-05,459561,0.0,0.0
2018-08-21 00:00:00+00:00,2.9999999242136255e-05,3.7000001611886546e-05,2.700000004551839e-05,3.300000025774352e-05,604295,0.0,0.0
2018-08-22 00:00:00+00:00,3.300000025774352e-05,7.300000288523734e-05,2.8000000384054147e-05,2.8000000384054147e-05,470017,0.0,0.0
2018-08-23 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.700000004551839e-05,2.8000000384054147e-05,493346,0.0,0.0
2018-08-24 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.2000000171829015e-05,2.700000004551839e-05,487297,0.0,0.0
2018-08-25 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.300000051036477e-05,2.4000000848900527e-05,483048,0.0,0.0
2018-08-26 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.2000000171829015e-05,2.300000051036477e-05,348141,0.0,0.0
2018-08-27 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,413739,0.0,0.0
