,XRP,Lag
XEM,1.8339203792698817e-24,28
DOGE,1.9372342506084248e-10,13
MONA,6.083366494206475e-08,24
ETC,2.498194387842652e-07,26
BTS,9.097418944716832e-07,14
SC,1.167335692597095e-06,17
MAID,2.6348039145835318e-06,24
USDT,3.90236390174559e-06,30
GNO,6.470993107508466e-06,24
ARK,1.1936269989878392e-05,11
DCR,1.2099402320990129e-05,7
QTUM,1.4302063607118853e-05,15
KMD,1.4824048301463582e-05,19
ZEN,1.5853187820007802e-05,25
ETH,1.8183970913291814e-05,11
LSK,1.9184284459075928e-05,24
SYS,0.0001248779324513,19
DGB,0.0001274237730218,18
BTC,0.00019899971345,30
ANT,0.0014721514152136,26
STEEM,0.0031322287144315,29
VERI,0.0532115560122963,15
RLC,0.0558541558885152,23
FIRO,0.2607523526093652,30
XWC,0.3347245349710457,1
CON,0.4080108290361042,1
