TIMESTAMP,APUGURL_OPEN_PRICE_USD,APUGURL_HIGH_PRICE_USD,APUGURL_LOW_PRICE_USD,APUGURL_CLOSE_PRICE_USD,APUGURL_VOLUME_USD,APUGURL_DIVIDENDS_USD,APUGURL_STOCK_SPLITS_USD
2024-06-04 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,1.9999999949504854e-06,3.999999989900971e-06,421755,0.0,0.0
2024-06-05 00:00:00+00:00,3.000000106112566e-06,9.999999747378752e-06,3.000000106112566e-06,7.000000096013537e-06,630427,0.0,0.0
2024-06-06 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,3.999999989900971e-06,7.000000096013537e-06,433683,0.0,0.0
2024-06-07 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,223027,0.0,0.0
2024-06-08 00:00:00+00:00,6.000000212225132e-06,1.2999999853491317e-05,6.000000212225132e-06,1.2000000424450263e-05,534713,0.0,0.0
2024-06-09 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,7.999999979801942e-06,7.999999979801942e-06,221057,0.0,0.0
2024-06-10 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06,209366,0.0,0.0
2024-06-11 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,157456,0.0,0.0
2024-06-12 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06,111181,0.0,0.0
2024-06-13 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,4.999999873689376e-06,7.000000096013537e-06,176317,0.0,0.0
2024-06-14 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,63314,0.0,0.0
2024-06-15 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06,102069,0.0,0.0
2024-06-16 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,39565,0.0,0.0
2024-06-17 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,59281,0.0,0.0
2024-06-18 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,97120,0.0,0.0
2024-06-19 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,62492,0.0,0.0
2024-06-20 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,133439,0.0,0.0
