TIMESTAMP,FENTANYL_OPEN_PRICE_USD,FENTANYL_HIGH_PRICE_USD,FENTANYL_LOW_PRICE_USD,FENTANYL_CLOSE_PRICE_USD,FENTANYL_VOLUME_USD,FENTANYL_DIVIDENDS_USD,FENTANYL_STOCK_SPLITS_USD
2024-01-22 00:00:00+00:00,0.00012199999764561653,0.0001829999964684248,0.00012199999764561653,0.000155999994603917,1208967,0.0,0.0
2024-01-23 00:00:00+00:00,0.000155999994603917,0.00022600000374950469,0.00013800000306218863,0.000155999994603917,1539039,0.0,0.0
2024-01-24 00:00:00+00:00,0.000155999994603917,0.00015700000221841037,0.00011700000322889537,0.00011800000356743112,196923,0.0,0.0
2024-01-25 00:00:00+00:00,0.00011800000356743112,0.0001900000061141327,0.00011100000119768083,0.00014200000441633165,936336,0.0,0.0
2024-01-26 00:00:00+00:00,0.00014200000441633165,0.0001630000042496249,0.00011500000255182385,0.00014000000373926014,531020,0.0,0.0
2024-01-27 00:00:00+00:00,0.00014400000509340316,0.0001539999939268455,0.00010099999781232327,0.00014400000509340316,399214,0.0,0.0
2024-01-28 00:00:00+00:00,0.00014400000509340316,0.00016700000560376793,0.00010099999781232327,0.00011899999663000926,488187,0.0,0.0
2024-01-29 00:00:00+00:00,0.00011899999663000926,0.00013000000035390258,9.699999645818025e-05,0.00010800000018207356,173996,0.0,0.0
2024-01-30 00:00:00+00:00,0.00010800000018207356,0.00011899999663000926,9.600000339560211e-05,9.600000339560211e-05,105982,0.0,0.0
2024-01-31 00:00:00+00:00,9.699999645818025e-05,0.00010800000018207356,7.79999973019585e-05,9.899999713525176e-05,169497,0.0,0.0
2024-02-01 00:00:00+00:00,9.899999713525176e-05,0.00015300000086426735,1.1000000085914508e-05,1.2000000424450263e-05,890046,0.0,0.0
2024-02-02 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.9999999949504854e-06,1.9999999949504854e-06,42620,0.0,0.0
2024-02-03 00:00:00+00:00,1.9999999949504854e-06,9.000000318337698e-06,9.999999974752427e-07,9.000000318337698e-06,71631,0.0,0.0
2024-02-04 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,3.000000106112566e-06,4.999999873689376e-06,103289,0.0,0.0
2024-02-05 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,17838,0.0,0.0
2024-02-06 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,10390,0.0,0.0
2024-02-07 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,4763,0.0,0.0
2024-02-08 00:00:00+00:00,3.000000106112566e-06,9.000000318337698e-06,3.000000106112566e-06,3.999999989900971e-06,59515,0.0,0.0
2024-02-09 00:00:00+00:00,3.999999989900971e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,30009,0.0,0.0
2024-02-10 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,5680,0.0,0.0
2024-02-11 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,9450,0.0,0.0
2024-02-12 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,9060,0.0,0.0
2024-02-13 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,9222,0.0,0.0
2024-02-14 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,5874,0.0,0.0
2024-02-15 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,3156,0.0,0.0
