,XRP
UNIT,4.232494449197506e-21
XEM,6.8027662730374526e-12
IFC,1.1112811083793486e-10
DOGE,6.25024724602483e-09
RRT,2.595707999124075e-08
LTC,1.827683884682445e-07
IBANK,1.8060636714742535e-06
LTCR,6.609530275055893e-06
RBT,6.8993332413535845e-06
DIME,1.340810405405335e-05
WGR,5.443929894727603e-05
QTUM,8.370772294090384e-05
ACES,0.00010845274410145
USDT,0.00011925675794525
BCDN,0.00024365692577075
BAT,0.0002561520825375
SC,0.0002571337527937
PHR,0.0002635984320467
VIDZ,0.00029519633945555
NETKO,0.00036761400704305
ETH,0.0005590964153569999
BTS,0.0024122705274871002
DGB,0.0025397880454183
IMS,0.00264136809325745
ZCL,0.0031816484690694
XLM,0.0032286916601608788
CAB,0.00393345605887895
MOTO,0.0053969286841527
GNO,0.009365242711334001
SWING,0.012542068456129402
ICON,0.0125974743524247
BTC,0.0150758694872989
BITS,0.01673175447795715
NAV,0.016991625232559253
XMR,0.01807126438121465
ZUR,0.0186380372968713
TAJ,0.02082676515628685
ZET,0.021620509365176302
LSK,0.02183588499787585
WBB,0.0234328577574237
GAS,0.0234968175864857
DASH,0.025158742813693298
WAVES,0.02631983919630755
CREVA,0.02640468908687125
GRS,0.0281002981376688
WDC,0.03318944968936955
ADZ,0.0344282480284014
SPR,0.035281893282743296
CSC,0.0373310418727249
VEC2,0.04375014348593925
TRST,0.04662036895919365
ARK,0.0499184403270139
BERN,0.05548758102958825
GBYTE,0.05569938980985195
PIVX,0.056293030932906496
VTC,0.05766123931897375
PXI,0.0597513510512244
MONA,0.0602999348141164
EVIL,0.0663739231074087
ETC,0.06703233143294095
DCR,0.06804988376272166
ENT,0.07203908991896041
START,0.07349885166011735
ZEC,0.07359905728554039
POST,0.08361449737900345
XTO,0.08394605138349545
OPAL,0.08499347265585255
QBC,0.0865225432121095
EFL,0.08943311994856626
HBD,0.09146837958456525
KMD,0.09330928376919595
BLU,0.0941487778884604
CJ,0.09648868587857275
VLT,0.10176565326971976
SKULL,0.10194141566245546
FRN,0.1046888142080689
RLC,0.1103510503605
ZEN,0.11416624168080315
C2,0.12699987575447075
SYS,0.1277321309818959
KOBO,0.13650779192707485
XMS,0.14061847430994406
NOBL,0.15187656692954354
LBC,0.16501990576907474
PKB,0.16506973305470618
ANT,0.16714312799864875
AV,0.18561875367486355
XHI,0.1877621127952536
EUC,0.18910998134105383
AE,0.19809950218909606
STEEM,0.2358086077675057
DCT,0.23598534312112915
XPY,0.24438352102944294
PPC,0.248198358067345
BTB,0.24874097974489165
FTC,0.2517590375616193
HUSH,0.2639369913888133
FIRO,0.26508551954769294
PZM,0.27077197191965086
JLP,0.2729840216857917
BLK,0.2755006308920913
LANA,0.27718252074873917
AGRS,0.28392973779957875
SNRG,0.2862934373094348
2GIVE,0.2863255018985622
SANDG,0.2892872934521419
RBY,0.2895930751671103
TECH,0.2918117418917449
MAID,0.29209323901814077
ZOOM,0.29534351156821326
PXC,0.29558855888471924
IOTA,0.2974372392811999
PUT,0.3206945379000384
XDN,0.3317825182988331
ZYD,0.33413377664025756
