,XRP,Lag
UNIT,1.0922863695059383e-31,30
WC,9.886839455053622e-19,29
XEM,3.732425835191788e-16,27
NETKO,1.526474918625373e-13,30
IFC,2.9928141929133697e-12,23
DOGE,1.3522580154819204e-10,26
RRT,3.939490732867946e-10,21
VEC2,6.785616401179126e-09,30
LTC,3.4018841286678864e-08,17
BCDN,8.242920340183126e-08,5
XLM,8.593578836887642e-08,25
WGR,9.373008300112977e-08,27
RBT,3.017019029716652e-07,12
ACES,5.41804858304364e-07,30
IMS,5.706711493798708e-07,28
IBANK,6.035028736003548e-07,23
LTCR,8.450236005753025e-07,12
DIME,1.1987653031428651e-06,11
PHR,2.1270824324419413e-06,30
MONA,3.275466875231959e-06,30
ETH,1.0747756376282618e-05,11
QTUM,1.3289192545344195e-05,15
VIDZ,1.829781547459013e-05,28
SC,2.519708825950592e-05,16
USDT,2.6409668411783568e-05,18
MOTO,2.8591987361116625e-05,30
DGB,5.15662136117507e-05,12
BTC,7.318552229869821e-05,28
BAT,8.826125580649541e-05,30
WBB,0.0001306080375465,29
SWING,0.0002538358048051,28
CAB,0.0002597190143613,16
ENT,0.0002688862288239,26
BTS,0.0003284333636755,18
ZCL,0.0004006308794203,14
BITS,0.0008396723612359,11
ICON,0.0013401340169491,15
GNO,0.0013481414846713,20
NOBL,0.001894358708214,28
GRS,0.0021827028438333,24
NAV,0.0025213842183033,17
DASH,0.0026056126479484,30
START,0.0028859322453946,30
LSK,0.0031019176880382,12
CSC,0.0031267705163241,30
ZET,0.003333316781679,27
WYZ,0.0039400321256033,30
TAJ,0.0040413296925149,7
WDC,0.005573791702585,8
ZUR,0.0058091877814174,15
SXC,0.0058617300128212,25
XTO,0.0059181155378943,20
IRL,0.0060668850611092,29
VTC,0.0066355352217213,29
PXC,0.0070210796917156,25
CREVA,0.0071631339523833,10
GBYTE,0.0073557171982092,23
XMR,0.007383415030407,28
SPR,0.0080284325544716,28
VLT,0.0081217189761256,27
WAVES,0.0083428847870398,5
OPAL,0.0086895525932545,30
GAS,0.008992540586061,14
PIVX,0.0090080590999988,11
ARK,0.0098081850630557,11
POST,0.0098444943769866,28
C2,0.0100813769365632,29
PXI,0.0121863650573914,7
XPY,0.0130434008162466,28
QBC,0.0141994366589238,5
ETC,0.0148605317947358,28
DCR,0.016704002685488,8
ADZ,0.0174695682121359,12
ZEC,0.0177235850971524,1
EVIL,0.0186387674885809,6
EUC,0.0188048119500232,30
BLU,0.0194182178482714,26
KOBO,0.0213350166199366,7
BERN,0.0222213581553556,15
FRN,0.0225382583306623,18
SWT,0.0235715227528166,29
TRST,0.0238082315176494,7
ZEN,0.0240337318445788,20
HBD,0.0251619737409471,6
PKB,0.0286751976842183,30
STEEM,0.0287752655339424,29
KMD,0.0289216107411692,14
EFL,0.0289317610462272,7
RLC,0.0356202142312024,16
BOLI,0.037292258710487,25
XMS,0.0401665492575615,26
SKULL,0.0465291064564267,26
CJ,0.0477271489790576,16
COOL,0.0513362420589355,3
AV,0.0614025174159941,27
DCT,0.0656079695603444,11
DEM,0.0656615179079401,28
CKC,0.0660092601624585,30
SYS,0.0662922913093602,20
LBC,0.0766102147046292,28
ANT,0.080051624239646,23
JLP,0.0928255417704731,1
ICOB,0.0959448535479592,11
PZM,0.0969036924071149,3
XHI,0.104612327749522,22
ZOOM,0.1101831279108405,29
AE,0.1130491095565372,6
SKR,0.1208947201429503,29
LANA,0.1226337181786254,7
AXIOM,0.1303728356770854,1
NXT,0.1304413582450216,1
RBY,0.1340922180770184,27
SNRG,0.135767019734298,4
BLK,0.1465864903099031,24
XQN,0.1512009616212237,10
SANDG,0.1605926498988178,11
IOTA,0.171027212100967,5
FTC,0.1711834743010545,15
AMS,0.1713032174777749,5
PPC,0.1713886934200082,7
FIRO,0.1732474078658296,24
BLAZR,0.1753650567871831,4
BTB,0.1812135532376727,2
KURT,0.1834458552582865,6
TECH,0.1838180348313934,3
CARBON,0.1841373699186368,3
ZYD,0.1841524839647105,19
EDRC,0.191239035347908,18
NXS,0.1957413562947611,5
2GIVE,0.2094574857190476,25
HUSH,0.2170211380549939,15
MAID,0.2201485864113082,1
NMC,0.220309025024799,2
CF,0.2213400659641071,1
PTOY,0.2238874395754823,2
CRW,0.2280349759843006,4
ACOIN,0.2302357811352439,9
VERI,0.234459847730819,3
CYT,0.2355118494999224,2
QTZ,0.2377001525545369,1
XDN,0.2401614704453241,14
LDOGE,0.2412345781186799,29
KIN,0.2418137334586318,1
XPX,0.2488563400343686,4
EQB,0.250604148322792,29
ALIAS,0.2516121754055849,27
VAL,0.2518414404785282,23
AGRS,0.2593396138896266,20
CETI,0.2650018079028667,30
SIGNA,0.2662228150194908,27
BCN,0.2723736829129038,8
OZO,0.2797629447807072,7
PUT,0.289121738497276,22
NVC,0.3047708618517066,4
SILK,0.3071151718156476,6
LAMB,0.3222215152668087,1
WINGS,0.3265760221886191,9
MST,0.3283077645448806,1
BTCS,0.3342659732879962,30
IXC,0.334438797512512,1
NEWB,0.3363152431754369,7
TAB,0.3489499567841796,24
CLUB,0.349075381796756,2
HVCO,0.3562957004805767,24
FOREX,0.3592657191937189,2
PLU,0.3693353893795957,8
MNTC,0.3708927842497379,1
MCN,0.3757236590042532,30
ADC,0.3804237869785717,4
HBN,0.3953115351890129,1
NEVA,0.4013187727230233,1
XPTX,0.4219414444025434,1
CLOAK,0.4224604927997651,2
AMBER,0.4272773731235335,23
XPM,0.4396840931237058,1
ILC,0.4400013614771825,1
MAY,0.4430371913105368,8
DCY,0.4506169177026485,23
ZENI,0.4571804157523093,8
SLS,0.4587360358478177,1
XCP,0.4589940428482472,21
BS,0.459357108707303,1
GLC,0.463376328931076,1
LMC,0.4764609772389397,30
XWC,0.4829304870950047,2
PIE,0.4868920918118661,1
CANN,0.5167464411486167,5
NYC,0.5177486583122695,1
ARGUS,0.5218651197787488,2
RBIES,0.5421608947137276,4
INF,0.5492266980959035,1
HMQ,0.5532860163535722,2
HNC,0.5546452157368398,2
42,0.569956226063318,29
LOG,0.5840066964675613,1
PAK,0.5907859119466494,26
CNT,0.596262015297051,1
POT,0.6198591973830312,1
TES,0.6246665263352921,1
CLAM,0.6275427187368525,1
XBY,0.6291443541509336,29
SHND,0.6487854491100877,1
BSTY,0.650644665870916,1
GCC,0.6692485315147091,1
ZER,0.6696413433538521,1
XBC,0.681503841482803,17
XST,0.7083895869574495,30
SONG,0.711230321317332,1
LUN,0.7149340216052164,4
LUNC,0.7259103705224942,1
OK,0.7347030736630533,1
SWIFT,0.7483499388694239,1
RDD,0.7516797321275912,1
BIS,0.7523852648111978,28
FRC,0.7567262724991868,14
BRIT,0.7593256123821954,3
DGC,0.7792138453234954,2
SIB,0.7829730938671356,2
LOOK,0.8335237599702924,30
BTA,0.8664577265549346,1
PASC,0.9082191116137606,2
