TIMESTAMP,BBEER_OPEN_PRICE_USD,BBEER_HIGH_PRICE_USD,BBEER_LOW_PRICE_USD,BBEER_CLOSE_PRICE_USD,BBEER_VOLUME_USD,BBEER_DIVIDENDS_USD,BBEER_STOCK_SPLITS_USD
2024-06-10 00:00:00+00:00,0.003464000066742301,0.005392999853938818,0.0027970001101493835,0.0035749999806284904,714677,0.0,0.0
2024-06-11 00:00:00+00:00,0.003590000094845891,0.005282000172883272,0.003309000050649047,0.003930999897420406,844323,0.0,0.0
2024-06-12 00:00:00+00:00,0.003932999912649393,0.004666999913752079,0.0034600000362843275,0.003951000049710274,376255,0.0,0.0
2024-06-13 00:00:00+00:00,0.003945999778807163,0.003951000049710274,0.0004090000002179295,0.0007060000207275152,4099048,0.0,0.0
2024-06-14 00:00:00+00:00,0.0007060000207275152,0.0014270000392571092,0.0005099999834783375,0.000547999981790781,2587379,0.0,0.0
2024-06-15 00:00:00+00:00,0.000547999981790781,0.000742000003810972,0.000514000013936311,0.0005810000002384186,1234084,0.0,0.0
2024-06-16 00:00:00+00:00,0.0005810000002384186,0.001196000026538968,0.000547999981790781,0.000981000019237399,4678393,0.0,0.0
2024-06-17 00:00:00+00:00,0.000981000019237399,0.0011919999960809946,0.0002530000056140125,0.00034699999378062785,2271133,0.0,0.0
2024-06-18 00:00:00+00:00,0.00034699999378062785,0.0006500000017695129,0.00027099999715574086,0.0006270000012591481,828591,0.0,0.0
2024-06-19 00:00:00+00:00,0.0006270000012591481,0.0006639999919570982,0.00019299999985378236,0.00021300000662449747,258418,0.0,0.0
2024-06-20 00:00:00+00:00,0.00021300000662449747,0.00021300000662449747,0.0001539999939268455,0.00015900000289548188,196893,0.0,0.0
2024-06-21 00:00:00+00:00,0.00015900000289548188,0.0001610000035725534,0.00012099999730708078,0.00012700000661425292,178878,0.0,0.0
2024-06-22 00:00:00+00:00,0.00012700000661425292,0.00013600000238511711,0.00010900000052060932,0.00013600000238511711,140242,0.0,0.0
2024-06-23 00:00:00+00:00,0.00013600000238511711,0.00015799999528098851,0.0001320000010309741,0.00014899999951012433,125146,0.0,0.0
2024-06-24 00:00:00+00:00,0.00014899999951012433,0.0001500000071246177,0.00013099999341648072,0.00014400000509340316,125157,0.0,0.0
2024-06-25 00:00:00+00:00,0.00014400000509340316,0.0001449999981559813,4.5000000682193786e-05,4.70000013592653e-05,16272,0.0,0.0
2024-06-26 00:00:00+00:00,4.70000013592653e-05,5.2999999752501026e-05,4.3000000005122274e-05,4.8999998398358e-05,14877,0.0,0.0
2024-06-27 00:00:00+00:00,4.8999998398358e-05,6.600000051548705e-05,4.8000001697801054e-05,5.900000178371556e-05,27644,0.0,0.0
