,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.0009425355477553671,0.030700741811157707,0.024903755728814817,0.13022643749460897,31766.029006594203,178.23026961376175,144.57641173964325,0.2753023637150963,0.9821340455167473
1,0.001947244650038853,0.04412759510826364,0.03564961398999038,0.383078540923608,65627.48407156982,256.1786175143621,206.96048778161583,0.2760870358269954,0.9743439203382075
2,0.003808534311119503,0.0617133236110283,0.05636946367705215,0.0672337870983126,128358.11536223492,358.2710082636257,327.2477292658587,0.14371539443548154,0.7945138289713636
3,0.018888850667328753,0.13743671513583536,0.1018998310107773,0.2917711739266723,636606.1992574501,797.8760550721208,591.5699906239493,0.24778267817020494,0.9472184494906406
4,0.0012843062954426482,0.03583721941561103,0.029151808208651167,0.07357009428109214,43284.65169407511,208.0496375725637,169.2380860661346,0.06805640057928584,0.9949378855312343
5,0.0013130789690967122,0.036236431517144625,0.02962007857785159,0.0387271880939193,54582.716873421436,233.62944350706618,190.97142228422123,0.357503581020508,0.9794907299191565
6,0.0018143402422885443,0.04259507298137361,0.03454361269243501,4.174496823396821,135366.27353954595,367.92155894911343,298.3758277610967,0.18263322013542801,0.9669855430323924
7,0.0015993640516027878,0.03999204985497477,0.03498898088205329,0.09936827435370331,227753.86396980484,477.23564825964627,417.5327128266952,0.9557649041906439,0.9118538130956028
8,0.003277634897325564,0.057250632287561366,0.04551880791913483,0.08143516850935724,466744.2818215195,683.186857178561,543.187906198226,0.7800993536024606,0.7932476254368135
9,0.0015908808315294194,0.03988584750922838,0.03465163808368914,0.06666983224960396,226545.83660091448,475.9683147026853,413.50711281836004,0.40756941657565837,0.9519773406229706
10,0.0010254655506663792,0.03202289104166548,0.024949090733733092,0.038522068260619755,146029.12904736257,382.1375786904012,297.7240613265496,0.3470562123722551,0.8774045571848674
11,0.0016206119925728524,0.040256825415981974,0.031229055195906807,0.08538665610460491,259260.28325239572,509.17608275762103,394.9911023453107,0.6620225273696574,0.8662066021953024
Mean,0.0032594040005639482,0.049837945474152184,0.04028964472500746,0.46087383705774365,201827.07204140737,410.6550893401273,332.99023758647166,0.3919660906661397,0.920026195111275
