TIMESTAMP,CZ33205_OPEN_PRICE_USD,CZ33205_HIGH_PRICE_USD,CZ33205_LOW_PRICE_USD,CZ33205_CLOSE_PRICE_USD,CZ33205_VOLUME_USD,CZ33205_DIVIDENDS_USD,CZ33205_STOCK_SPLITS_USD
2024-09-27 00:00:00+00:00,4.999999873689376e-05,5.6000000768108293e-05,3.199999991920777e-05,3.9999998989515007e-05,1340483,0.0,0.0
2024-09-28 00:00:00+00:00,4.199999966658652e-05,7.000000186963007e-05,2.2000000171829015e-05,2.300000051036477e-05,235604,0.0,0.0
2024-09-29 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.2000000424450263e-05,1.2999999853491317e-05,36272,0.0,0.0
2024-09-30 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4000000192027073e-05,15014,0.0,0.0
2024-10-01 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.1000000085914508e-05,12786,0.0,0.0
2024-10-02 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,2241,0.0,0.0
2024-10-03 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,2401,0.0,0.0
2024-10-04 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,311,0.0,0.0
2024-10-05 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,2137,0.0,0.0
2024-10-06 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,677,0.0,0.0
2024-10-07 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,2134,0.0,0.0
2024-10-08 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,709,0.0,0.0
