TIMESTAMP,TBTC26133_OPEN_PRICE_USD,TBTC26133_HIGH_PRICE_USD,TBTC26133_LOW_PRICE_USD,TBTC26133_CLOSE_PRICE_USD,TBTC26133_VOLUME_USD,TBTC26133_DIVIDENDS_USD,TBTC26133_STOCK_SPLITS_USD
2023-05-30 00:00:00+00:00,27515.41015625,27662.501953125,27414.703125,27490.7421875,25104,0.0,0.0
2023-05-31 00:00:00+00:00,27494.126953125,27583.359375,26764.76953125,27092.39453125,3811,0.0,0.0
2023-06-01 00:00:00+00:00,27093.619140625,27093.619140625,26660.189453125,26713.669921875,8351,0.0,0.0
2023-06-02 00:00:00+00:00,26706.955078125,27167.849609375,26573.43359375,27081.716796875,6947,0.0,0.0
2023-06-03 00:00:00+00:00,27082.6328125,27111.166015625,26990.591796875,27034.14453125,0,0.0,0.0
2023-06-04 00:00:00+00:00,27034.14453125,27034.14453125,27034.14453125,27034.14453125,0,0.0,0.0
2023-06-05 00:00:00+00:00,27034.14453125,27034.14453125,25478.640625,25593.365234375,20313,0.0,0.0
2023-06-06 00:00:00+00:00,25593.349609375,26814.01953125,25540.736328125,26773.109375,22953,0.0,0.0
2023-06-07 00:00:00+00:00,26776.607421875,26858.53515625,26070.314453125,26141.095703125,91074,0.0,0.0
2023-06-08 00:00:00+00:00,26142.25,26543.68359375,26118.291015625,26347.177734375,9199,0.0,0.0
2023-06-09 00:00:00+00:00,26347.14453125,26509.298828125,26163.130859375,26272.34375,31510,0.0,0.0
2023-06-10 00:00:00+00:00,26270.59375,26270.59375,25202.521484375,25639.271484375,34403,0.0,0.0
2023-06-11 00:00:00+00:00,25638.0625,25943.919921875,25500.623046875,25679.94921875,1536,0.0,0.0
2023-06-12 00:00:00+00:00,25682.513671875,25693.255859375,25399.9921875,25536.408203125,1738,0.0,0.0
2023-06-13 00:00:00+00:00,25536.408203125,25978.33984375,25535.45703125,25699.63671875,109636,0.0,0.0
2023-06-14 00:00:00+00:00,25699.466796875,25829.662109375,24344.498046875,24687.962890625,18141,0.0,0.0
