,LTC,Lag
IOTA,7.62371214879403e-07,17
XMR,0.0001832472180031,13
DCR,0.0004680922465155,16
DASH,0.0010647371514735,30
BTC,0.0021160218352997,10
DOGE,0.0029369771275003,20
USDT,0.0046460694423572,26
ETC,0.0054294711226962,5
QTUM,0.0158723367251529,16
XRP,0.0176071528286188,30
ETH,0.0456498505733461,13
XLM,0.0916793339537581,16
BAT,0.0931644912097478,13
ZEC,0.10861865850438,14
GNO,0.2208973854794591,6
