TIMESTAMP,ATEM28390_OPEN_PRICE_USD,ATEM28390_HIGH_PRICE_USD,ATEM28390_LOW_PRICE_USD,ATEM28390_CLOSE_PRICE_USD,ATEM28390_VOLUME_USD,ATEM28390_DIVIDENDS_USD,ATEM28390_STOCK_SPLITS_USD
2023-11-15 00:00:00+00:00,0.5197169780731201,0.5197240114212036,0.2091590017080307,0.23392200469970703,1622534,0.0,0.0
2023-11-16 00:00:00+00:00,0.23353999853134155,0.24931800365447998,0.16839699447155,0.21058599650859833,640165,0.0,0.0
2023-11-17 00:00:00+00:00,0.21123099327087402,0.2352219969034195,0.17512600123882294,0.23412300646305084,481558,0.0,0.0
2023-11-18 00:00:00+00:00,0.23415599763393402,0.24201099574565887,0.153097003698349,0.2184240072965622,302349,0.0,0.0
2023-11-19 00:00:00+00:00,0.2185640037059784,0.22921299934387207,0.17790000140666962,0.18657399713993073,779213,0.0,0.0
2023-11-20 00:00:00+00:00,0.1865600049495697,0.2587200105190277,0.18632900714874268,0.19734600186347961,866238,0.0,0.0
2023-11-21 00:00:00+00:00,0.19734099507331848,0.21482500433921814,0.14673499763011932,0.1724099963903427,147597,0.0,0.0
2023-11-22 00:00:00+00:00,0.172433003783226,0.1869329959154129,0.13807299733161926,0.16355599462985992,97748,0.0,0.0
2023-11-23 00:00:00+00:00,0.16354599595069885,0.19150899350643158,0.16262300312519073,0.17964300513267517,138731,0.0,0.0
2023-11-24 00:00:00+00:00,0.1797260046005249,0.1903589963912964,0.164451003074646,0.16823099553585052,106692,0.0,0.0
2023-11-25 00:00:00+00:00,0.1684270054101944,0.17779800295829773,0.16260600090026855,0.17368300259113312,113322,0.0,0.0
2023-11-26 00:00:00+00:00,0.1738090068101883,0.18055300414562225,0.15497100353240967,0.15622200071811676,136888,0.0,0.0
2023-11-27 00:00:00+00:00,0.15624600648880005,0.16386200487613678,0.15141600370407104,0.15337200462818146,108925,0.0,0.0
2023-11-28 00:00:00+00:00,0.15361200273036957,0.15646900236606598,0.13026399910449982,0.1325179934501648,86758,0.0,0.0
2023-11-29 00:00:00+00:00,0.1325169950723648,0.1392049938440323,0.11935000121593475,0.11986999958753586,100127,0.0,0.0
2023-11-30 00:00:00+00:00,0.1198050007224083,0.15594999492168427,0.11538500338792801,0.14127400517463684,116155,0.0,0.0
2023-12-01 00:00:00+00:00,0.14127600193023682,0.1806119978427887,0.13886399567127228,0.16751299798488617,144170,0.0,0.0
2023-12-02 00:00:00+00:00,0.16748499870300293,0.16825300455093384,0.14040599763393402,0.1499360054731369,97657,0.0,0.0
2023-12-03 00:00:00+00:00,0.14993000030517578,0.16839100420475006,0.12815600633621216,0.13746799528598785,101011,0.0,0.0
2023-12-04 00:00:00+00:00,0.13746699690818787,0.14151300489902496,0.1350889950990677,0.13837100565433502,73337,0.0,0.0
2023-12-05 00:00:00+00:00,0.13837000727653503,0.15220199525356293,0.12652799487113953,0.15159399807453156,81721,0.0,0.0
2023-12-06 00:00:00+00:00,0.15161000192165375,0.1557690054178238,0.12833400070667267,0.1478240042924881,96386,0.0,0.0
2023-12-07 00:00:00+00:00,0.14773699641227722,0.14808200299739838,0.1298069953918457,0.13387000560760498,112437,0.0,0.0
2023-12-08 00:00:00+00:00,0.13385699689388275,0.14935199916362762,0.12300000339746475,0.1394450068473816,92269,0.0,0.0
