TIMESTAMP,TOTO29618_OPEN_PRICE_USD,TOTO29618_HIGH_PRICE_USD,TOTO29618_LOW_PRICE_USD,TOTO29618_CLOSE_PRICE_USD,TOTO29618_VOLUME_USD,TOTO29618_DIVIDENDS_USD,TOTO29618_STOCK_SPLITS_USD
2024-03-01 00:00:00+00:00,,,,0.0,167233,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,508277,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,472921,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,240521,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,190525,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,191384,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,192111,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,311006,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,204353,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,197562,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,196816,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,232285,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,280682,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,338257,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,336521,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,311968,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,334321,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,331212,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,222577,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,296961,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,227648,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,213793,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,193062,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,150331,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,209860,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,141838,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,200520,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,258567,0.0,0.0
