TIMESTAMP,BLK_CLOSE_PRICE_USD,BLK_OPEN_PRICE_USD,BLK_HIGH_PRICE_USD,BLK_LOW_PRICE_USD
2019-07-10,0.056712,0.066893,0.076294,0.053368
2019-07-11,0.052279,0.056712,0.060675,0.04859
2019-07-12,0.051282,0.052285,0.061861,0.047491
2019-07-13,0.04967,0.051158,0.052201,0.0474
2019-07-14,0.053128,0.049574,0.061915,0.048132
2019-07-15,0.052303,0.053036,0.053601,0.04851
2019-07-16,0.042558,0.052418,0.053421,0.042289
2019-07-17,0.045301,0.042606,0.047028,0.041885
2019-07-18,0.048188,0.045424,0.049209,0.042371
2019-07-19,0.050273,0.049202,0.052895,0.047961
2019-07-20,0.052888,0.050231,0.054428,0.049214
2019-07-21,0.051618,0.053008,0.053334,0.048841
2019-07-22,0.053538,0.051722,0.05446,0.049827
2019-07-23,0.050884,0.053717,0.055068,0.050316
2019-07-24,0.05122,0.050779,0.052068,0.048666
2019-07-25,0.05002,0.051225,0.053408,0.049647
2019-07-26,0.049774,0.050094,0.050094,0.048528
2019-07-27,0.047861,0.049661,0.051458,0.047145
2019-07-28,0.047946,0.047809,0.048433,0.046274
2019-07-29,0.047422,0.047976,0.048981,0.047144
2019-07-30,0.048267,0.047399,0.048884,0.047138
2019-07-31,0.050368,0.048257,0.050847,0.047766
2019-08-01,0.05166,0.050429,0.052114,0.049257
2019-08-02,0.055164,0.051561,0.055427,0.05114
2019-08-03,0.058067,0.055181,0.061577,0.054145
2019-08-04,0.062507,0.058079,0.06512,0.05704
2019-08-05,0.067745,0.0625,0.070424,0.0625
2019-08-06,0.066923,0.067841,0.071937,0.064578
2019-08-07,0.059034,0.066862,0.068036,0.057403
2019-08-08,0.060433,0.059304,0.060595,0.058086
2019-08-09,0.059428,0.060236,0.062702,0.058952
2019-08-10,0.057422,0.059456,0.060909,0.057209
2019-08-11,0.058111,0.057397,0.060606,0.05604
2019-08-12,0.056878,0.05797,0.058103,0.056425
2019-08-13,0.055356,0.056853,0.061226,0.054067
2019-08-14,0.050592,0.055398,0.055398,0.050209
2019-08-15,0.052556,0.050729,0.053497,0.047939
2019-08-16,0.054086,0.052534,0.059248,0.048675
2019-08-17,0.054078,0.054069,0.055981,0.052828
2019-08-18,0.054866,0.054067,0.056256,0.05329
2019-08-19,0.056814,0.054753,0.057663,0.054488
2019-08-20,0.054466,0.05692,0.059594,0.054006
2019-08-21,0.050563,0.054619,0.056098,0.048908
2019-08-22,0.05166,0.050487,0.052097,0.04852
2019-08-23,0.051936,0.051649,0.05326,0.05094
2019-08-24,0.053903,0.051988,0.056652,0.051522
2019-08-25,0.051885,0.053909,0.058013,0.050737
2019-08-26,0.050944,0.051948,0.054424,0.050123
2019-08-27,0.052766,0.051468,0.053393,0.050508
2019-08-28,0.050404,0.052725,0.054172,0.049726
2019-08-29,0.049078,0.050316,0.053019,0.047958
2019-08-30,0.050278,0.049116,0.050975,0.048263
2019-08-31,0.05038,0.050307,0.050801,0.049546
2019-09-01,0.052161,0.050375,0.052479,0.049933
2019-09-02,0.051844,0.052171,0.05523,0.051613
2019-09-03,0.054432,0.05195,0.05552,0.051537
2019-09-04,0.057849,0.054432,0.058691,0.052952
2019-09-05,0.054762,0.057959,0.057959,0.054067
2019-09-06,0.052792,0.054756,0.056181,0.052201
2019-09-07,0.054058,0.05271,0.055345,0.052678
2019-09-08,0.053221,0.054017,0.054531,0.05283
2019-09-09,0.052569,0.053166,0.054138,0.051968
2019-09-10,0.051169,0.052496,0.053455,0.050904
2019-09-11,0.052147,0.051173,0.052999,0.048642
2019-09-12,0.051405,0.052198,0.053651,0.04906
2019-09-13,0.051742,0.051475,0.053671,0.049052
2019-09-14,0.054391,0.051801,0.056933,0.051364
2019-09-15,0.052276,0.054391,0.054504,0.051349
2019-09-16,0.052003,0.052276,0.053087,0.050543
2019-09-17,0.052944,0.052022,0.054433,0.051086
2019-09-18,0.052704,0.052911,0.053396,0.052032
2019-09-19,0.053255,0.052653,0.054011,0.049242
2019-09-20,0.052927,0.053332,0.054082,0.052546
2019-09-21,0.051862,0.052927,0.053495,0.051421
2019-09-22,0.053153,0.051962,0.053408,0.051168
2019-09-23,0.050194,0.053164,0.054598,0.049986
2019-09-24,0.045777,0.050233,0.052393,0.042276
2019-09-25,0.045331,0.045754,0.046912,0.042215
2019-09-26,0.043327,0.045381,0.045428,0.041784
2019-09-27,0.043778,0.043318,0.044788,0.041896
2019-09-28,0.046396,0.043778,0.049137,0.04371
