,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.031102228138782377,0.1763582380802847,0.14141893878682515,0.40073185675664674,27743.797073085745,166.56469335692287,133.56564726501975,0.5903537415370103,0.9187790731318193
1,0.008376292535725348,0.09152208769321943,0.07252023304216464,0.2312438589015012,7471.817110461985,86.43967324360953,68.49303174893203,0.49038376812599455,0.8996042972366599
2,0.01560563711452899,0.1249225244482715,0.10413744476077805,1.329294242951105,13920.533392224232,117.98531006961939,98.3544693984766,0.6778562554991507,0.8511439409963559
3,0.0528274031052264,0.22984212648082247,0.1974142981763403,0.4817449091896737,47123.07587750158,217.07850164744914,186.45146165929407,2.6811609616065963,0.8498310927530519
4,0.019765846994202793,0.1405910629954934,0.11543523273541209,0.36579044853982223,17631.521729524546,132.78374045614376,109.0248664128395,0.8744865849621937,0.8282675810058157
5,0.053153218056051284,0.23054981686405931,0.19805197510159533,0.7343126416436226,47413.709907228586,217.74689413910957,187.05372517572934,1.1200503842412812,0.8238837403877325
6,0.023963889705542564,0.15480274450261716,0.1319583200361915,1.0256423069301135,29058.80887423075,170.46644500965797,145.31050836517772,0.9006682597261765,0.8801443571004262
7,0.007182840217199279,0.08475163843371572,0.0704439828114299,0.16613343992546614,26002.581387982176,161.25315931163078,134.03062159908907,8.228043614559887,0.4863353838328083
8,0.003744637000442465,0.061193439194430516,0.047707988905444476,0.09200517688936662,26774.393105475807,163.62882724469978,127.56927015826149,1.2411438427241472,0.9117980955021655
9,0.0031363929446564026,0.056003508324536266,0.043321392566708854,0.08633203882018023,22425.40907940959,149.75115718888316,115.83968412381445,1.266813854888294,0.7607299160244643
10,0.0019326453761261883,0.043961862746318976,0.03689012758735437,0.07113827016848442,13818.536664428075,117.55227205132223,98.64273286525797,0.6115663260567927,0.8934156661885183
11,0.001960689318464936,0.04427967161649842,0.03547113038049619,0.06334611321204048,14019.054165721913,118.40208683009735,94.84839630915647,0.7543798925162776,0.9008757467974498
Mean,0.01856264337557909,0.11989822678168899,0.09956425540756174,0.42064294199400193,24450.269863939586,151.63773004576214,124.93203459008738,1.6197422905369834,0.833734074246439
