TIMESTAMP,IVIP_OPEN_PRICE_USD,IVIP_HIGH_PRICE_USD,IVIP_LOW_PRICE_USD,IVIP_CLOSE_PRICE_USD,IVIP_VOLUME_USD,IVIP_DIVIDENDS_USD,IVIP_STOCK_SPLITS_USD
2023-05-28 00:00:00+00:00,8.299999899463728e-05,0.00010399999882793054,7.699999696342275e-05,9.40000027185306e-05,35306,0.0,0.0
2023-05-29 00:00:00+00:00,9.40000027185306e-05,0.00010299999848939478,9.000000136438757e-05,9.200000204145908e-05,14001,0.0,0.0
2023-05-30 00:00:00+00:00,9.200000204145908e-05,9.699999645818025e-05,6.0999998822808266e-05,6.0999998822808266e-05,77904,0.0,0.0
2023-05-31 00:00:00+00:00,6.0999998822808266e-05,6.800000119255856e-05,5.8000001445179805e-05,6.199999916134402e-05,8082,0.0,0.0
2023-06-01 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,4.70000013592653e-05,5.500000042957254e-05,28355,0.0,0.0
2023-06-02 00:00:00+00:00,5.500000042957254e-05,5.999999848427251e-05,5.0999999075429514e-05,5.199999941396527e-05,5539,0.0,0.0
2023-06-03 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,5.199999941396527e-05,5.2999999752501026e-05,703,0.0,0.0
2023-06-04 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,959,0.0,0.0
2023-06-05 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.8000001697801054e-05,5.0999999075429514e-05,1947,0.0,0.0
2023-06-06 00:00:00+00:00,5.0999999075429514e-05,5.400000009103678e-05,4.8999998398358e-05,5.400000009103678e-05,906,0.0,0.0
2023-06-07 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.199999941396527e-05,5.199999941396527e-05,1044,0.0,0.0
2023-06-08 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.400000034365803e-05,4.400000034365803e-05,5304,0.0,0.0
2023-06-09 00:00:00+00:00,4.400000034365803e-05,4.8000001697801054e-05,3.7999998312443495e-05,3.7999998312443495e-05,7171,0.0,0.0
