TIMESTAMP,ARNOLD_OPEN_PRICE_USD,ARNOLD_HIGH_PRICE_USD,ARNOLD_LOW_PRICE_USD,ARNOLD_CLOSE_PRICE_USD,ARNOLD_VOLUME_USD,ARNOLD_DIVIDENDS_USD,ARNOLD_STOCK_SPLITS_USD
2025-03-03 00:00:00+00:00,0.00016999999934341758,0.00017100000695791095,0.0001320000010309741,0.0001340000017080456,491271,0.0,0.0
2025-03-04 00:00:00+00:00,0.0001340000017080456,0.00013600000238511711,0.00012199999764561653,0.0001340000017080456,533360,0.0,0.0
2025-03-05 00:00:00+00:00,0.0001340000017080456,0.0001340000017080456,0.00012399999832268804,0.0001289999927394092,537478,0.0,0.0
2025-03-06 00:00:00+00:00,0.0001289999927394092,0.0001289999927394092,0.00011999999696854502,0.00011999999696854502,487698,0.0,0.0
2025-03-07 00:00:00+00:00,0.00011999999696854502,0.0001250000059371814,0.0001140000022132881,0.00011700000322889537,550363,0.0,0.0
2025-03-08 00:00:00+00:00,0.00011700000322889537,0.00011800000356743112,0.00011300000187475234,0.0001140000022132881,521972,0.0,0.0
2025-03-09 00:00:00+00:00,0.0001140000022132881,0.00011500000255182385,9.200000204145908e-05,9.300000237999484e-05,424906,0.0,0.0
2025-03-10 00:00:00+00:00,9.300000237999484e-05,0.00010099999781232327,7.699999696342275e-05,7.79999973019585e-05,359263,0.0,0.0
2025-03-11 00:00:00+00:00,7.79999973019585e-05,8.399999933317304e-05,6.199999916134402e-05,6.299999949987978e-05,425839,0.0,0.0
2025-03-12 00:00:00+00:00,6.299999949987978e-05,6.70000008540228e-05,6.0999998822808266e-05,6.399999983841553e-05,387062,0.0,0.0
2025-03-13 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.2999999752501026e-05,5.500000042957254e-05,395672,0.0,0.0
2025-03-14 00:00:00+00:00,5.500000042957254e-05,5.700000110664405e-05,5.2999999752501026e-05,5.400000009103678e-05,144480,0.0,0.0
2025-03-15 00:00:00+00:00,5.400000009103678e-05,5.700000110664405e-05,5.400000009103678e-05,5.6000000768108293e-05,35037,0.0,0.0
