,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.020422183082044337,0.1429062037913132,0.12217764656308688,0.0683287622566476,3444247.0436754376,1855.868272177591,1586.6745338541668,0.04453200876329851,0.37268671177935464
1,0.005625222856498771,0.07500148569527654,0.05923769387955606,0.03644054427993347,991611.8267428864,995.7970811078362,786.5007661290316,0.022764862282033792,0.8963423243579093
Mean,0.013023702969271553,0.10895384474329486,0.09070767022132148,0.05238465326829053,2217929.435209162,1425.8326766427135,1186.5876499915992,0.03364843552266615,0.634514518068632
