TIMESTAMP,DINGO_OPEN_PRICE_USD,DINGO_HIGH_PRICE_USD,DINGO_LOW_PRICE_USD,DINGO_CLOSE_PRICE_USD,DINGO_VOLUME_USD,DINGO_DIVIDENDS_USD,DINGO_STOCK_SPLITS_USD
2021-05-24 00:00:00+00:00,,,,0.0,197192,0.0,0.0
2021-05-25 00:00:00+00:00,,,,0.0,346261,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,256034,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,112601,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,52308,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,76754,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,95053,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,50618,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,16275,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,18298,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,14112,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,6843,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,9439,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,7873,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,1,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,1799533,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,1575409,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,267858,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,66543,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,680907,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,833034,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,172001,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,66327,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,188777,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,205982,0.0,0.0
