,LTC
LTCR,5.815698956896615e-09
IBANK,1.057174457218393e-08
IFC,1.0896082707106241e-08
QTUM,2.378058905196349e-07
XLM,5.478607923971869e-07
USDT,6.016034282269168e-07
PPC,2.2979296508978188e-06
RBIES,1.1326631829647968e-05
PXC,3.777614350331384e-05
WYZ,3.976080183562677e-05
ACES,5.6285061562748484e-05
VEC2,6.919558500853981e-05
ARK,8.429602436087292e-05
MONA,0.00010887849988835177
ETH,0.00013702441561230002
ZUR,0.0001488765285277
IMS,0.0002022439106176
GAS,0.00032164647074425
DGB,0.0006490601823554
XRP,0.0007743369807932999
XEM,0.0010749817710599499
BTC,0.0011944775868732499
RBT,0.0017720911370816
BITS,0.00183798273764345
WBB,0.00192688400691265
STEEM,0.0022020528776644
GRS,0.0023695787438631
TAJ,0.00285853677450345
HBD,0.00307373895540035
MCN,0.0033192034537219504
XTO,0.0039045333773205498
RRT,0.0045519831308573
DCR,0.0046081126933976
VTC,0.004614458568629199
SKULL,0.0049635225130182006
VAL,0.00545206745318915
DASH,0.00595302245068745
LSK,0.0059768666520043
WAVES,0.007257332996385301
WINGS,0.0073117286404319505
VLT,0.007836145472241849
XPX,0.00978223939172035
ADZ,0.012734016242433002
PXI,0.01290400131590655
ZEC,0.01703799522059725
KMD,0.017224125078655998
ADC,0.0174288904582568
RBY,0.01779838491960815
IOTA,0.0184921789773169
XMR,0.0187886510852561
BAT,0.020415004077019752
CAB,0.0214627119304461
SPR,0.021890306589419303
GNO,0.022163461640854053
RLC,0.02254836950937495
XQN,0.0234353022667722
ETC,0.0262349767925218
ZYD,0.030112476126011152
BERN,0.03096174209028725
VIDZ,0.0320101830116032
ZEN,0.0328159433752489
XPM,0.0333517464547928
ICOB,0.036057519108025654
TAB,0.037295455480626
SXC,0.0387645240234302
EVIL,0.0389849565994855
SIGNA,0.04134398496106545
WGR,0.0419767185293217
EUC,0.04380858568162375
ICON,0.05323672155202345
BLU,0.0575345165137401
CREVA,0.0575664387736361
FRN,0.06358358591361254
C2,0.06766093411982335
START,0.06834140591671245
AE,0.07089069175736559
LDOGE,0.07592158551677064
XHI,0.08585316053354586
BCN,0.0874514236552963
ACOIN,0.0888165026557487
PIVX,0.0988782837571705
NOBL,0.10449992310946304
XPY,0.1046418787024049
SYS,0.112588803993516
DOGE,0.13502638743138856
WC,0.13823178143023235
GBYTE,0.1532661393111448
MOTO,0.15790836638585404
TRST,0.15907597857404865
OPAL,0.17893248552345434
CETI,0.1795202285189384
CF,0.1815302694786624
KOBO,0.1820837571753532
LANA,0.18317054684852402
XCP,0.19088673942334936
MAY,0.1990216406004838
HVCO,0.21201197884061623
CSC,0.217654972161077
XPTX,0.2274238945064048
LBC,0.22762854167050725
SWING,0.23557826620152014
2GIVE,0.23645481708771415
DCY,0.2422676169717411
ZENI,0.24918852023214694
AV,0.25661899743204
SKR,0.25793621522750343
ZET,0.26152995068539264
BOLI,0.26518736323871406
ALIAS,0.2863618933131997
KIN,0.29836806278718403
SC,0.30036772530015704
CJ,0.30555034704574346
BTS,0.3081380580331045
XMS,0.3188832470125508
ZCL,0.32373894696478034
DEM,0.3266528942763501
FRC,0.3466747163969719
ARGUS,0.36554042749646753
CARBON,0.3800594559453573
NAV,0.38224332580453824
AGRS,0.38986719350071936
SANDG,0.39245922368846115
QTZ,0.41443255428808723
PAK,0.43508542132691624
NMC,0.44783845343619505
LAMB,0.45032630028355936
IRL,0.45313661074659145
CLUB,0.46172976645695096
LOG,0.4721312635791055
JLP,0.4869297372795077
XST,0.48734896972827874
COOL,0.5137059715882334
FTC,0.5138937756136122
AMS,0.5155201860537746
XWC,0.5447566927032643
EFL,0.5472203488749386
PLU,0.5484975480839555
ANT,0.563154348346699
42,0.5698037673260301
NEWB,0.5729495784302645
POST,0.5791008887443615
NXT,0.5808650540600394
DCT,0.583522989972433
FOREX,0.6072707345068916
PHR,0.6175183567764568
QBC,0.6187166467209586
BS,0.6399696146566821
AXIOM,0.6498952680821829
BTCS,0.6912357607908468
SWIFT,0.6976209474022032
ZER,0.7025949229498802
BLAZR,0.7093516353862822
BLK,0.7097241406742127
CANN,0.742610106863387
EDRC,0.7452990043804615
SWT,0.7458281185785725
SNRG,0.75556954930909
CLOAK,0.7598107740395048
PTOY,0.7652162398167959
PKB,0.7729549870309096
XDN,0.779295837138709
CKC,0.781758358957312
LMC,0.7912940467967
BTB,0.8042900173387006
FIRO,0.8090178498376387
INF,0.8093241975146952
NXS,0.8110981492616032
XBY,0.8155963087655091
KURT,0.8176289584100537
HNC,0.820069949249527
LUNC,0.8303901263472553
DGC,0.8324389389343088
SILK,0.8568207235545071
VERI,0.8572100288347475
TES,0.8597532911256087
RDD,0.8615659124749045
NVC,0.8655902165212492
HMQ,0.8702873418068661
PZM,0.8768835186967192
CLAM,0.8772258061738614
TECH,0.8791991035797347
NEVA,0.8850138209592049
CNT,0.8934320226479223
AMBER,0.903907434710205
XBC,0.9297039994048919
SIB,0.931664142888888
BIS,0.9339542245080183
MAID,0.9436667711575331
CRW,0.945843443568197
PIE,0.9546494493955463
BRIT,0.9583579896014955
GCC,0.9622859534165549
MST,0.9666285570122937
OZO,0.9694985557453948
ILC,0.9748333731751442
IXC,0.9767292153450808
BSTY,0.9830904609851434
PASC,0.9858901168315218
EQB,0.991219525697972
POT,0.9936486023764521
SLS,0.9943021473404525
HBN,0.99528042681494
LOOK,0.995410413908544
MNTC,0.9966570464294136
OK,0.9992174363440154
BTA,0.9992668910048295
PUT,0.999983354775853
SONG,0.9999889882882189
