,LTC,Lag
PXC,9.123834337844044e-21,22
TRST,2.346785285869157e-18,30
VEC2,3.960632612373303e-18,30
WYZ,1.041241664501388e-16,30
42,5.089696707467588e-15,30
LTCR,3.2040121000705367e-14,30
IFC,4.546214645324649e-11,6
IBANK,1.30003118019947e-10,22
ACES,2.0643081496857364e-09,30
USDT,5.22485226835668e-09,3
QTUM,7.551847470825981e-09,27
PPC,9.552547759285086e-09,10
XLM,1.2414081602873188e-08,16
ETH,2.348216462801807e-08,27
RBIES,9.506954179256238e-08,12
GNO,1.1344051973850057e-07,29
MONA,4.03877769416396e-07,30
GAS,6.422986748074903e-07,5
RRT,6.869095640154731e-07,30
GRS,9.605295937391286e-07,27
WBB,2.023285954233584e-06,23
ARK,2.984668101618808e-06,4
WC,4.141513995432182e-06,16
ZUR,4.2990000418198e-06,8
RBT,8.743870844597218e-06,29
DGB,8.891999681481987e-06,28
XPM,1.0377657373523167e-05,28
DCR,1.2065124426639663e-05,20
XRP,1.2981402578930888e-05,19
TAB,1.5227207337781552e-05,26
IMS,1.6573163050456534e-05,22
TAJ,2.8095633831547077e-05,6
CKC,4.612260912418667e-05,29
BTC,4.985810099909908e-05,17
PAK,7.498648532242094e-05,30
XEM,8.042957637093335e-05,14
DOGE,9.254185575374352e-05,26
VAL,0.0001054916437547,28
WAVES,0.0001402991677155,24
BITS,0.0001644177500303,21
ZEN,0.0001957991631761,27
NOBL,0.0001984572444104,28
STEEM,0.00026148184984,30
VTC,0.0003426876168434,25
CAB,0.0003590118586299,28
XPY,0.0004255505935243,30
VLT,0.0006078149599463,29
HBD,0.0006255927286229,8
XPX,0.0006462477072181,11
LSK,0.0007098647671701,28
SIGNA,0.0007153992439071,26
BCN,0.0007746158225867,28
IOTA,0.0008199790155737,17
MCN,0.0008691844528962,8
DASH,0.0009703494057778,24
PXI,0.0010260214896482,30
XTO,0.0011836043061964,21
ADC,0.0011951736573395,28
RLC,0.001222852837253,8
ADZ,0.0013592272430526,12
WINGS,0.0014115614069353,24
ETC,0.0015867093770983,3
SKULL,0.0017410730524609,27
ZEC,0.0017920516218607,27
BERN,0.0021660322797691,9
RBY,0.0023499402097172,16
XQN,0.0025985710168072,13
LDOGE,0.0026807248005487,22
XHI,0.0030317072880463,24
CJ,0.0030905040989595,23
XMR,0.0032228935395869,30
BAT,0.0032997308632719,5
EUC,0.0038008993968973,24
SXC,0.0039282020266268,9
XWC,0.0044318413479237,20
BTS,0.0046225833490794,1
PIVX,0.0046302056850335,4
KMD,0.0050919427879647,3
ZYD,0.0051596489825184,12
EFL,0.0054926184917035,26
SPR,0.0063554629221789,9
VIDZ,0.0064971368522802,24
ICOB,0.0069261462481615,6
EVIL,0.0075671433968703,14
C2,0.0085721584141625,30
SWING,0.0103580389215312,30
NMC,0.011222524975033,4
ACOIN,0.0114374983855556,21
START,0.0121043689841338,29
FRN,0.01378733442681,18
SC,0.014064054693813,1
WGR,0.0149844744789239,20
GBYTE,0.0152949063850708,19
CREVA,0.0158659288258564,10
CF,0.0181627366698798,1
SYS,0.0188452113016049,10
CETI,0.0190869194742267,10
ICON,0.0194021530442133,10
BOLI,0.0200495103538804,2
DEM,0.0204670661043025,1
BLU,0.0234314884584303,15
AE,0.0254057185022716,1
BLK,0.0259585633377805,23
NXT,0.0261372507332859,2
COOL,0.0269906736810992,3
2GIVE,0.027673695170412,4
LBC,0.0286541024871248,1
XMS,0.0288147265710298,25
LANA,0.0294094969913715,27
CSC,0.034014936789407,2
CLUB,0.0343155211830334,1
LAMB,0.0350088099523409,1
XCP,0.0383157922280889,3
BLAZR,0.0393844504517949,1
CARBON,0.0395454745003639,4
IRL,0.0430138862671531,28
KOBO,0.0434427061313784,7
ZCL,0.0444235169409592,2
XPTX,0.0449508314314153,4
AV,0.0566866497951427,9
LMC,0.056924366221928,30
LOOK,0.0588052252404041,29
OPAL,0.0707479721049196,7
ZENI,0.0729882642038834,5
SANDG,0.0757724928934608,29
MOTO,0.076935480531488,11
JLP,0.0770329187884151,1
FRC,0.0792319604266195,12
ZET,0.082780065514186,10
MAY,0.0834091206974323,24
QTZ,0.0863216434120214,7
NAV,0.0952829036510077,2
PLU,0.0962142912643876,1
HVCO,0.0990271518245923,4
INF,0.0998462891893377,1
SKR,0.1098431801120506,8
QBC,0.115932562662784,9
ALIAS,0.1181996393313791,7
NEWB,0.1265920076118969,29
ARGUS,0.1290868653708696,9
DCY,0.1299424959610016,9
LOG,0.1311844663673826,1
SNRG,0.1343443389020817,1
PHR,0.1385177481440191,27
AXIOM,0.1460405810383843,26
KIN,0.1497287813023325,19
FTC,0.1541534545463622,18
MST,0.1657620176758091,1
AGRS,0.1668919910327107,12
BS,0.1676005513107099,2
AMS,0.1710541189369234,1
