TIMESTAMP,MCD36183_OPEN_PRICE_USD,MCD36183_HIGH_PRICE_USD,MCD36183_LOW_PRICE_USD,MCD36183_CLOSE_PRICE_USD,MCD36183_VOLUME_USD,MCD36183_DIVIDENDS_USD,MCD36183_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,73414,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,88523,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,19877,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,4169,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,2022,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,1026,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,84,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,65,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,172,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,49,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,41,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,5026,0.0,0.0
2025-06-01 00:00:00+00:00,1.3005700303606732e-13,1.3005700303606732e-13,1.30056975931013e-13,1.30056975931013e-13,7,0.0,0.0
