,Frequency,ADF TS,ADF P-Val.,ADF CV (1\%),ADF CV (5\%),ADF CV (10\%),ADF_Determination,KPSS TS,KPSS P-Val,KPSS CV (1\%),KPSS CV (2.5\%),KPSS CV (5\%),KPSS CV (10\%),KPSS_Determination
0,12_Hour,-1.749,0.406,-3.433,-2.863,-2.567,Non-Stationary,5.338,0.010,0.739,0.574,0.463,0.347,Non-Stationary
1,1_Day,-2.638,0.085,-3.434,-2.863,-2.568,Non-Stationary,1.356,0.010,0.739,0.574,0.463,0.347,Non-Stationary
2,1_Hour,-1.759,0.401,-3.431,-2.862,-2.567,Non-Stationary,19.079,0.010,0.739,0.574,0.463,0.347,Non-Stationary
3,2_Hour,-1.786,0.387,-3.431,-2.862,-2.567,Non-Stationary,12.974,0.010,0.739,0.574,0.463,0.347,Non-Stationary
4,4_Hour,-1.873,0.345,-3.431,-2.862,-2.567,Non-Stationary,8.973,0.010,0.739,0.574,0.463,0.347,Non-Stationary
5,6_Hour,-1.797,0.382,-3.432,-2.862,-2.567,Non-Stationary,7.574,0.010,0.739,0.574,0.463,0.347,Non-Stationary
6,8_Hour,-1.887,0.338,-3.432,-2.862,-2.567,Non-Stationary,6.141,0.010,0.739,0.574,0.463,0.347,Non-Stationary
