,Frequency,ADF TS,ADF P-Val.,ADF CV (1\%),ADF CV (5\%),ADF CV (10\%),ADF_Determination,KPSS TS,KPSS P-Val,KPSS CV (1\%),KPSS CV (2.5\%),KPSS CV (5\%),KPSS CV (10\%),KPSS_Determination
0,12_Hour,-1.892,0.336,-3.433,-2.863,-2.567,Non-Stationary,5.425,0.010,0.739,0.574,0.463,0.347,Non-Stationary
1,1_Day,-2.382,0.147,-3.434,-2.863,-2.568,Non-Stationary,1.472,0.010,0.739,0.574,0.463,0.347,Non-Stationary
2,1_Hour,-1.811,0.375,-3.431,-2.862,-2.567,Non-Stationary,19.152,0.010,0.739,0.574,0.463,0.347,Non-Stationary
3,2_Hour,-1.810,0.375,-3.431,-2.862,-2.567,Non-Stationary,13.049,0.010,0.739,0.574,0.463,0.347,Non-Stationary
4,4_Hour,-1.913,0.326,-3.431,-2.862,-2.567,Non-Stationary,9.050,0.010,0.739,0.574,0.463,0.347,Non-Stationary
5,6_Hour,-1.860,0.351,-3.432,-2.862,-2.567,Non-Stationary,7.652,0.010,0.739,0.574,0.463,0.347,Non-Stationary
6,8_Hour,-1.892,0.336,-3.432,-2.862,-2.567,Non-Stationary,6.377,0.010,0.739,0.574,0.463,0.347,Non-Stationary
