,params_FC_activation,params_FC_dim_l1,params_FC_dim_l2,params_FC_dropout_rate,params_FC_n_layers,params_TCN_activation,params_TCN_dilation_base,params_TCN_dropout_rate,params_TCN_kernel_size,params_TCN_n_blocks,params_TCN_n_filters,params_TRAIN_batch_size,params_TRAIN_learning_rate,params_TRAIN_n_epochs,params_TRAIN_optimizer,params_TRAIN_weight_decay,Mean_Val_nMSE,Mean_Val_nRMSE,Mean_Val_nMAE,Mean_Val_nMAPE,Mean_Val_R2
0,,,,,0,relu,3,0.1,5,7,32,96,1e-05,280,RMSprop,0.001,0.0016179524935305367,0.040223780199411106,0.030509542281868668,0.045290793575834154,0.9205636470790434
1,elu,208.0,192.0,0.15000000000000002,2,gelu,2,0.30000000000000004,2,2,160,176,0.0001,280,RMSprop,1e-05,0.0018527474914026472,0.04304355342444031,0.033285652965699616,0.04851049466728216,0.9090359100769747
