TIMESTAMP,LTC_CLOSE_PRICE_USD,LTC_OPEN_PRICE_USD,LTC_HIGH_PRICE_USD,LTC_LOW_PRICE_USD
2017-12-15,294.0,272.4,314.21,239.99
2017-12-16,293.97,294.0,305.0,285.0
2017-12-17,311.4,293.97,328.8,290.0
2017-12-18,352.0,311.4,360.96,277.0
2017-12-19,338.48,352.0,366.96,303.01
2018-01-01,222.7,222.98,230.48,213.5
2018-01-02,247.33,222.62,256.0,222.62
2018-01-03,237.54,247.75,253.11,234.3
2018-01-04,233.13,238.06,238.88,220.54
2018-01-05,240.36,232.57,250.1,230.39
2018-01-06,275.02,239.86,312.3,238.76
2018-01-07,269.3,274.85,285.45,262.91
2018-01-08,252.49,268.5,270.71,218.25
2018-01-09,243.92,250.8,256.67,235.47
2018-01-10,247.17,245.15,248.05,225.2
2018-01-11,224.51,248.5,252.16,203.02
2018-01-12,232.72,223.77,240.4,216.86
2018-01-13,257.5,233.93,262.14,233.31
2018-01-14,234.12,257.71,270.36,223.73
2018-01-15,229.5,234.12,242.31,228.78
2018-01-16,179.43,229.5,242.0,135.67
2018-01-17,183.45,179.28,197.97,137.05
2018-01-18,187.08,184.0,202.16,170.82
2018-01-19,191.42,186.14,199.0,177.01
2018-01-20,210.45,191.44,214.98,190.67
2018-01-21,190.0,210.4,210.4,180.88
2018-01-22,178.0,190.6,195.0,163.48
2018-01-23,177.05,176.6,186.41,163.66
2018-01-24,180.75,177.34,185.0,171.58
2018-01-25,179.63,180.58,186.0,175.98
2018-01-26,177.09,179.59,183.0,165.08
2018-01-27,182.56,176.96,184.0,173.17
2018-01-28,197.39,182.11,197.93,181.7
2018-01-29,181.51,196.74,197.19,180.01
2018-01-30,168.01,181.5,181.96,161.82
2018-01-31,164.81,168.21,169.31,157.5
2018-02-01,143.8,164.83,167.2,132.7
2018-02-02,132.06,143.69,144.22,108.71
2018-02-03,160.56,131.68,166.77,121.03
2018-02-04,147.43,160.29,174.56,138.61
2018-02-05,125.0,147.29,153.89,117.19
2018-02-06,141.03,125.03,146.4,106.65
2018-02-07,137.98,140.7,156.78,130.23
2018-02-08,142.37,137.21,143.35,137.21
2018-02-09,163.73,152.07,164.37,151.62
2018-02-10,154.66,163.75,168.83,147.09
2018-02-11,148.31,154.62,155.99,139.57
2018-02-12,161.55,148.22,163.48,148.22
2018-02-13,159.58,161.62,162.93,152.03
2018-02-14,212.0,159.45,218.07,159.44
2018-02-15,221.3,212.0,236.48,206.99
2018-02-16,227.97,220.64,235.28,208.77
2018-02-17,228.01,228.08,232.0,222.99
2018-02-18,213.39,228.1,231.3,210.1
2018-02-19,221.44,213.25,226.25,211.48
2018-02-20,228.0,221.49,253.65,221.11
2018-02-21,209.6,228.49,232.7,203.71
2018-02-22,192.61,209.35,221.94,188.32
2018-02-23,206.5,192.57,216.18,182.0
2018-02-24,206.5,206.14,218.76,193.62
2018-02-25,217.5,206.51,222.93,199.0
2018-02-26,218.22,218.57,231.95,214.63
2018-02-27,214.25,218.19,224.0,212.26
2018-02-28,201.87,214.95,223.35,201.51
2018-03-01,209.25,201.86,214.89,200.2
2018-03-02,212.8,209.17,214.3,203.81
2018-03-03,210.04,212.95,218.29,208.43
2018-03-04,213.19,210.04,215.21,204.54
2018-03-05,210.49,213.5,216.84,208.73
2018-03-06,195.66,210.43,210.43,191.5
2018-03-07,185.46,196.24,199.22,173.45
2018-03-08,175.24,185.01,187.39,173.77
2018-03-09,186.08,175.0,189.96,158.26
2018-03-10,176.48,185.79,194.83,174.56
2018-03-11,188.07,176.74,193.49,170.24
2018-03-12,177.6,188.16,192.88,174.18
2018-03-13,175.01,177.64,181.63,170.9
2018-03-14,160.15,175.03,177.44,156.56
2018-03-15,164.13,160.0,167.48,149.87
2018-03-16,164.81,164.0,171.48,157.57
2018-03-17,151.8,164.01,165.81,150.2
2018-03-18,153.5,151.62,157.05,137.2
2018-03-19,161.32,154.41,163.73,150.99
2018-03-20,168.24,161.23,173.5,155.55
2018-03-21,168.71,168.69,175.38,165.33
2018-03-22,163.65,168.32,172.5,159.55
2018-03-23,168.64,163.65,169.07,156.3
2018-03-24,158.7,168.89,169.51,158.2
2018-03-25,160.01,158.85,162.89,156.95
2018-03-26,147.83,160.11,161.0,141.7
2018-03-27,134.75,148.16,149.34,134.75
2018-03-28,131.22,135.0,139.61,130.21
2018-03-29,114.7,131.22,132.47,112.72
2018-03-30,118.13,114.52,126.05,109.81
2018-03-31,116.05,118.35,124.06,115.42
2018-04-01,114.74,116.19,118.0,109.26
2018-04-02,119.05,115.06,121.48,113.84
2018-04-03,134.0,119.05,136.8,118.0
2018-04-04,118.02,134.04,134.58,115.4
2018-04-05,118.4,118.07,122.14,113.74
2018-04-06,112.79,118.26,120.06,111.75
2018-04-07,115.87,112.79,119.72,112.19
2018-04-08,117.82,115.9,118.43,115.38
2018-04-09,114.79,117.55,122.96,112.52
2018-04-10,114.25,114.78,115.19,111.49
2018-04-11,118.35,114.25,119.57,112.98
2018-04-12,129.61,118.46,130.75,113.0
2018-04-13,125.31,129.75,133.63,123.85
2018-04-14,126.44,125.0,129.71,124.26
2018-04-15,132.45,126.65,132.88,126.65
2018-04-16,128.96,132.15,133.49,124.88
2018-04-17,131.99,128.95,140.5,128.75
2018-04-18,140.36,132.17,141.39,131.6
2018-04-19,146.64,140.36,147.48,138.52
2018-04-20,155.71,146.69,156.39,142.67
2018-04-21,148.41,155.42,156.85,140.22
2018-04-22,146.38,148.48,153.0,144.29
2018-04-23,152.83,146.18,153.47,146.0
2018-04-24,164.23,152.5,166.21,152.5
2018-04-25,144.75,164.23,164.6,141.9
2018-04-26,154.0,144.85,154.58,142.15
2018-04-27,145.6,153.36,153.8,144.83
2018-04-28,152.14,145.3,153.67,144.5
2018-04-29,153.5,152.0,156.57,148.02
2018-04-30,148.4,153.34,154.85,147.27
2018-05-01,148.26,148.36,148.85,142.7
2018-05-02,151.58,148.08,153.75,146.22
2018-05-03,161.15,151.96,165.0,150.64
2018-05-04,169.44,161.29,171.93,157.56
2018-05-05,179.04,169.42,184.6,168.15
2018-05-06,172.22,179.04,184.66,165.27
2018-05-07,164.31,172.29,172.81,157.57
2018-05-08,158.89,164.46,168.43,157.38
2018-05-09,157.1,158.87,160.15,150.9
2018-05-10,148.16,156.76,160.86,147.5
2018-05-11,135.9,147.7,148.5,133.3
2018-05-12,141.36,136.46,144.4,130.4
2018-05-13,144.24,141.43,146.89,136.5
2018-05-14,147.42,144.24,152.73,134.32
2018-05-15,139.27,147.41,149.64,137.0
2018-05-16,139.2,139.11,140.77,134.18
2018-05-17,132.02,139.24,141.28,131.19
2018-05-18,135.95,132.31,137.47,128.64
2018-05-19,134.95,135.99,137.66,132.6
2018-05-20,139.64,134.88,140.99,132.81
2018-05-21,134.26,139.81,140.13,133.44
2018-05-22,127.94,134.1,136.0,127.38
2018-05-23,118.19,127.9,129.35,116.19
2018-05-24,122.6,118.37,124.85,114.85
2018-05-25,118.78,122.87,124.25,116.84
2018-05-26,118.23,118.9,122.16,117.37
2018-05-27,117.72,118.24,118.79,116.6
2018-05-28,110.82,117.76,118.93,110.19
2018-05-29,119.28,110.56,122.65,109.66
2018-05-30,117.18,119.5,122.73,115.03
2018-05-31,118.25,117.2,121.0,116.04
2018-06-01,120.19,118.15,120.39,117.1
2018-06-02,123.44,120.19,124.3,118.78
2018-06-03,125.06,123.4,127.85,122.26
2018-06-04,119.89,125.46,126.8,118.26
2018-06-05,122.02,119.77,122.42,115.8
2018-06-06,121.64,122.18,122.94,118.1
2018-06-07,121.54,121.4,123.55,119.55
2018-06-08,119.68,121.54,122.14,118.07
2018-06-09,117.26,119.73,120.93,116.89
2018-06-10,106.67,117.4,117.4,102.77
2018-06-11,107.1,106.5,108.4,102.7
2018-06-12,99.72,107.2,107.8,97.51
2018-06-13,93.37,99.68,100.36,89.28
2018-06-14,100.66,93.57,102.74,92.43
2018-06-15,95.46,100.88,100.97,94.6
2018-06-16,96.6,95.5,97.58,92.79
2018-06-17,94.91,96.69,98.17,94.63
2018-06-18,98.71,94.95,99.8,93.07
2018-06-19,98.69,98.71,101.31,96.99
2018-06-20,97.75,98.62,98.94,95.27
2018-06-21,96.71,97.8,99.13,96.0
2018-06-22,84.64,96.71,96.84,80.09
2018-06-23,82.75,84.79,86.59,81.45
2018-06-24,80.44,82.73,83.63,73.3
2018-06-25,81.48,80.49,84.17,78.55
2018-06-26,75.66,81.48,81.99,75.25
2018-06-27,80.6,75.62,81.75,74.93
2018-06-28,74.32,80.6,81.36,74.03
2018-06-29,78.8,74.08,80.5,72.52
2018-06-30,81.29,78.91,84.0,78.84
2018-07-01,79.95,81.34,81.68,77.73
2018-07-02,85.36,80.11,86.85,78.33
2018-07-03,84.94,85.48,89.96,84.1
2018-07-04,85.28,84.87,88.79,84.03
2018-07-05,83.3,85.19,86.6,82.0
2018-07-06,83.13,83.33,84.23,80.71
2018-07-07,84.9,82.97,85.34,79.5
2018-07-08,82.23,84.94,85.61,81.85
2018-07-09,80.06,82.3,83.07,79.9
2018-07-10,75.84,80.52,80.52,74.25
2018-07-11,78.18,75.73,80.89,75.38
2018-07-12,76.65,78.18,78.23,74.3
2018-07-13,76.52,76.76,78.54,74.97
2018-07-14,76.18,76.43,77.41,75.43
2018-07-15,78.53,76.21,79.49,75.12
2018-07-16,83.8,78.54,84.0,77.63
2018-07-17,89.0,83.43,90.0,81.44
2018-07-18,86.2,88.89,94.39,84.9
2018-07-19,86.08,86.23,88.94,84.82
2018-07-20,81.87,86.02,86.43,81.0
2018-07-21,83.44,81.8,84.85,79.53
2018-07-22,82.2,83.43,84.15,81.81
2018-07-23,81.38,82.26,85.79,81.1
2018-07-24,89.32,81.42,89.7,80.87
2018-07-25,86.43,89.0,90.58,84.81
2018-07-26,83.37,86.38,87.89,82.83
2018-07-27,84.39,83.34,85.12,81.45
2018-07-28,84.15,84.41,84.7,82.34
2018-07-29,83.85,84.08,85.34,83.27
2018-07-30,82.18,83.87,84.56,79.82
2018-07-31,78.79,82.24,82.62,76.18
2018-08-01,77.53,78.89,78.97,75.9
2018-08-02,76.1,77.53,78.46,75.47
2018-08-03,77.66,76.17,77.84,74.85
2018-08-04,73.06,77.69,78.1,72.12
2018-08-05,74.7,73.03,74.7,72.35
2018-08-06,73.71,74.61,76.7,72.38
2018-08-07,67.4,73.62,75.17,66.88
2018-08-08,62.1,67.36,67.49,60.82
2018-08-09,62.89,62.21,64.9,60.14
2018-08-10,59.01,62.89,63.1,58.36
2018-08-11,57.69,59.05,59.79,55.05
2018-08-12,59.33,57.76,61.32,57.3
2018-08-13,56.5,59.2,60.59,55.73
2018-08-14,54.31,56.5,56.5,49.34
2018-08-15,54.32,54.2,59.13,53.92
2018-08-16,55.29,54.32,57.53,54.14
2018-08-17,61.73,55.44,61.73,55.0
2018-08-18,57.04,61.75,62.27,55.16
2018-08-19,57.67,57.15,58.95,56.16
2018-08-20,53.43,57.67,58.5,53.19
2018-08-21,56.44,53.32,56.79,53.27
