TIMESTAMP,FROGGY_OPEN_PRICE_USD,FROGGY_HIGH_PRICE_USD,FROGGY_LOW_PRICE_USD,FROGGY_CLOSE_PRICE_USD,FROGGY_VOLUME_USD,FROGGY_DIVIDENDS_USD,FROGGY_STOCK_SPLITS_USD
2023-09-28 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,192741,0.0,0.0
2023-09-29 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,130937,0.0,0.0
2023-09-30 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,129886,0.0,0.0
2023-10-01 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,122709,0.0,0.0
2023-10-02 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,133084,0.0,0.0
2023-10-03 00:00:00+00:00,3.000000106112566e-06,6.000000212225132e-06,3.000000106112566e-06,4.999999873689376e-06,146306,0.0,0.0
2023-10-04 00:00:00+00:00,4.999999873689376e-06,1.5999999959603883e-05,4.999999873689376e-06,1.4999999621068127e-05,438257,0.0,0.0
2023-10-05 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,7.999999979801942e-06,9.999999747378752e-06,471050,0.0,0.0
2023-10-06 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,6.000000212225132e-06,1.1000000085914508e-05,336788,0.0,0.0
2023-10-07 00:00:00+00:00,1.1000000085914508e-05,1.5999999959603883e-05,9.000000318337698e-06,1.2000000424450263e-05,264079,0.0,0.0
2023-10-08 00:00:00+00:00,1.2000000424450263e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.4000000192027073e-05,156886,0.0,0.0
2023-10-09 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,9.999999747378752e-06,1.1000000085914508e-05,207280,0.0,0.0
2023-10-10 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,4.999999873689376e-06,9.999999747378752e-06,432453,0.0,0.0
2023-10-11 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,4.999999873689376e-06,6.000000212225132e-06,336463,0.0,0.0
2023-10-12 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,1783474,0.0,0.0
2023-10-13 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,1634371,0.0,0.0
2023-10-14 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,1296519,0.0,0.0
2023-10-15 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,2049376,0.0,0.0
